source	target
ACs	"gastrula cell:|||:retinal cell:retinal cone cell:retinal ganglion cell:antibody secreting cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:professional antigen presenting cell:pericyte cell:smooth muscle cell:pancreatic stellate cell:|||:primary cultured cell:theca cell:MHC-II-positive classical monocyte:MHC-II-negative classical monocyte"
BPs	"gastrula cell:|||:retinal progenitor cell:retinal blood vessel endothelial cell:cone retinal bipolar cell:retinal pigment epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basophil progenitor cell:mesenchymal stem cell:bronchioalveolar stem cell:pancreatic stellate cell:|||:primary cultured cell:NKGA2-positive natural killer cell, mouse:CD94-positive natural killer cell, mouse:Ly49CI-positive natural killer cell, mouse"
Cones	"gastrula cell:|||:retinal cone cell:retinal cell:estradiol secreting cell:cuticle secreting cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:corneocyte:chondrocyte:embryonic stem cell:neuronal stem cell:|||:equatorial cone cell (sensu Endopterygota):peptide hormone secreting cell:type 6 cone bipolar cell (sensu Mus):type 5 cone bipolar cell (sensu Mus)"
Endo	"gastrula cell:|||:progenitor cell of endocrine pancreas:pancreatic endocrine cell:retina horizontal cell:vein endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endospore:eosinophil progenitor cell:tendon cell:band form neutrophil:|||:type EC2 enteroendocrine cell:endocrine-paracrine cell of prostate gland:neuroendocrine cell:enteroendocrine cell"
HCs	"gastrula cell:|||:retina horizontal cell:retinal cone cell:retinal cell:glucocorticoid secreting cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:hematopoietic stem cell:smooth muscle cell:common myeloid progenitor:common myeloid progenitor, CD34-positive:|||:tissue-resident macrophage:seromucus secreting cell:common dendritic progenitor:nasal mucosa goblet cell"
Macroglia	"gastrula cell:|||:microglial cell:brain macroglial cell:immature microglial cell:macroglial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mature microglial cell:glial cell:macrophage:megakaryocyte progenitor cell:|||:choroid-plexus macrophage:meningeal macrophage:central nervous system macrophage:splenic tingible body macrophage"
Microglia	"gastrula cell:|||:microglial cell:immature microglial cell:brain macroglial cell:mature microglial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:glial cell:macroglial cell:oligodendrocyte:microconidium"
RGCs	"gastrula cell:|||:retinal ganglion cell:retina horizontal cell:retinal progenitor cell:retinal cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pericyte cell:enucleate erythrocyte:erythrocyte:nucleate erythrocyte:|||:sympathetic cholinergic neuron:cholinergic neuron:adrenergic neuron:midbrain dopaminergic neuron"
Rods	"gastrula cell:|||:retinal rod cell:retinal progenitor cell:retina horizontal cell:retinal blood vessel endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common dendritic progenitor:oligodendrocyte:chondroblast:Fraction D precursor B cell:|||:epithelial cell of parathyroid gland:epithelial cell of thyroid gland:erythroid progenitor cell, mammalian:erythroid lineage cell"
