"name","id"
'B cell', "nan"
'B cell (Plasmocyte)', "nan"
'Basal cell', "nan"
'Dendritic cell', "nan"
'Endothelial cell', "nan"
'Endothelial cell (APC)', "nan"
'Endothelial cell (endothelial to mesenchymal transition)', "nan"
'Epithelial cell', "nan"
'Fibroblast', "nan"
'M2 Macrophage', "nan"
'Macrophage', "nan"
'Mast cell', "nan"
'Mesothelial cell', "nan"
'Monocyte', "nan"
'Myeloid cell', "nan"
'Neutrophil', "nan"
'Smooth muscle cell', "nan"
'Stromal cell', "nan"
'T cell', "nan"
