source,target
acinar,pancreatic endocrine cell:pancreatic stellate cell:epithelial cell of exocrine pancreas:pancreatic ductal cell:pancreatic epsilon cell:acinar cell:pancreatic acinar cell:dikaryon:placental pericyte:amacrine cell
alpha,stromal cell of pancreas:epithelial cell of pancreas:amine precursor uptake and decarboxylation cell:pancreatic stellate cell:epithelial cell of exocrine pancreas:macrophage:melanophage:basophil:alpha-beta T cell:phagocyte
beta,pancreatic ductal cell:pancreatic stellate cell:type D enteroendocrine cell:pancreatic D cell:pancreatic epsilon cell:goblet cell:basket cell:gamete:Bm3-delta B cell:B cell
delta,type D enteroendocrine cell:amine precursor uptake and decarboxylation cell:pancreatic D cell:enteroendocrine cell:pancreatic ductal cell:Bm3-delta B cell:platelet:cell:epidermoblast:myelocyte
ductal,pancreatic ductal cell:pancreatic stellate cell:type D enteroendocrine cell:pancreatic D cell:pancreatic PP cell:structural cell:luteal cell:duct epithelial cell:crystal cell:urethra cell
endothelial,enteroendocrine cell:epithelial cell of pancreas:pancreatic endocrine cell:type D enteroendocrine cell:pancreatic D cell:endothelial cell:gut endothelial cell:endo-epithelial cell:endothelial tip cell:vein endothelial cell
fibroblast,fibroblast
pp,pancreatic PP cell:pancreatic epsilon cell:epithelial cell of pancreas:pancreatic stellate cell:pancreatic D cell:PP cell:protoplast:peptic cell:spheroplast:preadipocyte
smooth_muscle,stromal cell of pancreas:pancreatic ductal cell:pancreatic D cell:epithelial cell of pancreas:enteroendocrine cell:smooth muscle cell:smooth muscle myoblast:aortic smooth muscle cell:ureter smooth muscle cell:uterine smooth muscle cell
