source,target
B cell,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:B cell:CD38-positive naive B cell:B cell, CD19-positive:plasmablast:|||:B cell:cartwheel heterochromatin:transitional stage B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:B-2 B cell:Be cell:B-1 B cell:regulatory B cell"
DC precursor,"endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:immature dendritic epithelial T cell precursor:mature dendritic epithelial T cell precursor:granule cell precursor:early T lineage precursor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:muscle precursor cell:Schwann cell precursor:precursor B cell:adult skeletal muscle myoblast:|||:Fraction D precursor B cell:Fraction C' precursor B cell:Fraction C precursor B cell:common lymphoid progenitor"
DC1,"endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:conventional dendritic cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell:plasmacytoid dendritic cell:dendritic epidermal T cell:ILC1"
DC2,"endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:plasmacytoid dendritic cell:liver CD103-positive dendritic cell:liver dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell:conventional dendritic cell:dendritic epidermal T cell:group 2 innate lymphoid cell"
Early Erythroid,"endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:mesodermal cell:epithelial cell of alimentary canal:|||:basophilic erythroblast:erythrocyte:T follicular helper cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:nucleate erythrocyte:erythroid progenitor cell, mammalian:erythroid progenitor cell:enucleate erythrocyte:|||:primitive erythroid lineage cell:Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell:early embryonic cell (metazoa):CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell"
Early lymphoid_T lymphocyte,"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:mesodermal cell:|||:T cell:lymphocyte:B cell:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:memory T cell:early lymphoid progenitor:regulatory T cell:CD8-positive, alpha-beta cytotoxic T cell:|||:pro-T cell:T2 B cell:T1 B cell:T3 B cell"
Endothelial cell,"endothelial cell of hepatic sinusoid:mesodermal cell:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:endothelial cell:vein endothelial cell:glial cell:endothelial tip cell:|||:endothelial cell:cartwheel heterochromatin:mature gamma-delta T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gut endothelial cell:endo-epithelial cell:mesothelial cell:endosteal cell"
Fibroblast,mesodermal cell:intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:|||:fibroblast:ooblast:reticular layer of dermis fibroblast:gallbladder fibroblast:|||:fibroblast:cartwheel heterochromatin:gamma-delta intraepithelial T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:iridoblast:skin fibroblast:glioblast:marrow fibroblast
HSC_MPP,"endothelial cell of hepatic sinusoid:mesodermal cell:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:hematopoietic multipotent progenitor cell:hematopoietic stem cell:early lymphoid progenitor:fetal liver hematopoietic progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:spinal accessory motor neuron:short term hematopoietic stem cell:|||:megakaryocyte progenitor cell:granulocyte monocyte progenitor cell:neuronal stem cell:macrophage dendritic cell progenitor"
Hepatocyte,intrahepatic cholangiocyte:mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:|||:hepatocyte:oocyte:keratocyte:mast cell:|||:hepatocyte:cartwheel heterochromatin:basophilic metamyelocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:astrocyte:phagocyte:hyalocyte:pigment cell
