source,target
ASC1,"neuronal stem cell:oligodendrocyte:neural cell:central nervous system macrophage:|||:smooth muscle cell of the brain vasculature:astrocyte of the forebrain:brain macroglial cell:microglial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:bronchioalveolar stem cell:pancreatic stellate cell:embryonic stem cell:professional antigen presenting cell:|||:kidney loop of Henle thin ascending limb epithelial cell:Kit and Sca1-positive hematopoietic stem cell:lung microvascular endothelial cell:vascular lymphangioblast"
ASC2,"neuronal stem cell:oligodendrocyte:neural cell:central nervous system macrophage:|||:smooth muscle cell of the brain vasculature:microglial cell:brain macroglial cell:astrocyte of the forebrain:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:bronchioalveolar stem cell:pancreatic stellate cell:pericyte cell:plasmacytoid dendritic cell:|||:perivascular macrophage:vascular lymphangioblast:vascular associated smooth muscle cell:kidney loop of Henle cortical thick ascending limb epithelial cell"
END,"oligodendrocyte:neuronal stem cell:ectodermal cell:striatum neuron:|||:midbrain dopaminergic neuron:circulating endothelial cell:brain pericyte:radial glial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:band form neutrophil:endospore:neuron:tendon cell:|||:dermal dendritic cell:dendritic cell:endothelial cell of hepatic sinusoid:epithelial cell of appendix"
GABA1,"central nervous system macrophage:oligodendrocyte:leptomeningeal cell:fibroblast of choroid plexus:|||:radial glial cell:type I pneumocyte:basophil progenitor cell:microglial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:bronchioalveolar stem cell:band form neutrophil:glioblast:megakaryocyte progenitor cell:|||:GABAergic neuron:type II NK T cell secreting interferon-gamma:immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte:immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte"
GABA2,"central nervous system macrophage:oligodendrocyte:leptomeningeal cell:fibroblast of choroid plexus:|||:radial glial cell:basophil progenitor cell:type II pneumocyte:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:band form neutrophil:bronchioalveolar stem cell:glioblast:megakaryocyte progenitor cell:|||:GABAergic neuron:Vgamma1.1-positive, Vdelta6.3-positive thymocyte:IgD plasmablast:garland cell"
MG,"central nervous system macrophage:leptomeningeal cell:ectodermal cell:striatum neuron:|||:brain macroglial cell:microglial cell:brain microvascular endothelial cell:smooth muscle cell of the brain vasculature:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:megakaryocyte progenitor cell:common myeloid progenitor, CD34-positive:retinal ganglion cell:megakaryocyte-erythroid progenitor cell:|||:lymphocyte of B lineage:activated type II NK T cell:type II NK T cell secreting interferon-gamma:type II NK T cell secreting interleukin-4"
NSC,"neuronal stem cell:central nervous system macrophage:oligodendrocyte:neural cell:|||:astrocyte of the forebrain:microglial cell:brain macroglial cell:brain microvascular endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell:embryonic stem cell:hematopoietic stem cell:pancreatic stellate cell"
ODC1,"ectodermal cell:oligodendrocyte:neuronal stem cell:oligodendrocyte precursor cell:|||:conventional dendritic cell:microglial cell:brain macroglial cell:brain microvascular endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:myeloid dendritic cell:common dendritic progenitor:dendritic epidermal T cell:|||:podocyte (sensu Diptera):liver CD103-positive dendritic cell:pillar cell:blood cell"
OPC,"oligodendrocyte:neuronal stem cell:ectodermal cell:central nervous system macrophage:|||:midbrain dopaminergic neuron:brain microvascular endothelial cell:brain pericyte:microglial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adult endothelial progenitor cell:plasmacytoid dendritic cell:professional antigen presenting cell:cardioblast:|||:eosinophil progenitor cell:fetal derived definitive erythrocyte:Bergmann glial cell:growth hormone releasing hormone secreting cell"
Unclassified,"neuronal stem cell:central nervous system macrophage:fibroblast of choroid plexus:oligodendrocyte:|||:enterochromaffin-like cell:type I pneumocyte:gamma-delta intraepithelial T cell:alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:muscle cell:non-classical monocyte:classical monocyte:neuron associated cell:|||:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:common lymphoid progenitor:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell"
