source,target
1,":|||:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:gamma-delta intraepithelial T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:ILC1:B-1 B cell:CD1a-positive Langerhans cell:|||:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell:CD34-positive, CD38-positive common myeloid progenitor:Vgamma1.1-positive, Vdelta6.3-positive thymocyte:CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell"
10,":|||:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type II pneumocyte:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:regulatory B cell:naive thymus-derived CD4-positive, alpha-beta T cell:conventional dendritic cell:type I pneumocyte:|||:liver CD103-positive dendritic cell:CD103-negative, langerin-positive lymph node dendritic cell:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell:CD34-positive, CD38-positive common lymphoid progenitor"
11,":|||:intraepithelial lymphocyte:early lymphoid progenitor:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:type I pneumocyte:ILC1:Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell:|||:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell:CD27-high, CD11b-high natural killer cell, mouse:CD8_alpha-positive CD11b-negative dendritic cell:immature CD8_alpha-negative CD11b-negative dendritic cell"
12,":|||:intraepithelial lymphocyte:CD4-positive, alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:conventional dendritic cell:plasmacytoid dendritic cell:type I pneumocyte:|||:myeloid dendritic cell:mature CD8 single-positive thymocyte:type 1 otic fibrocyte:type I muscle cell"
13,":|||:intraepithelial lymphocyte:CD4-positive, alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:ILC1:group 3 innate lymphoid cell:|||:prostate stem cell:CD34-positive, CD38-negative hematopoietic stem cell:immature CD1a-positive Langerhans cell:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell"
14,":|||:intraepithelial lymphocyte:CD4-positive, alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:ILC1:CD4-positive CD11b-positive dendritic cell:|||:mature CD14-positive dermal dendritic cell:CD14-positive, CD16-positive monocyte:CD14-positive, CD16-negative classical monocyte:CD141-positive myeloid dendritic cell"
15,":|||:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type II pneumocyte:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:type I pneumocyte:ILC1:CD1a-positive Langerhans cell:|||:CD115-positive monocyte:CD115-positive monocyte OR common dendritic progenitor:CD34-positive, CD38-positive common myeloid progenitor:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell"
16,":|||:type I pneumocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type II pneumocyte:intraepithelial lymphocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD16-positive myeloid dendritic cell:conventional dendritic cell:ILC1:CD14-positive, CD16-positive monocyte:|||:CD56-positive, CD161-positive immature natural killer cell, human:mature CD16-positive myeloid dendritic cell:CD14-low, CD16-positive monocyte:CD16-positive, CD56-dim natural killer cell, human"
17,":|||:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type II pneumocyte:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:Tc17 cell:T-helper 17 cell:|||:CD27-negative gamma-delta T cell:CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:Kit-positive, CD34-positive common myeloid progenitor"
18,":|||:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type II pneumocyte:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:ILC1:CD8_alpha-positive CD11b-negative dendritic cell:|||:regulatory B cell:liver CD103-negative dendritic cell:type I muscle cell:Bm1 B cell"
19,":|||:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type II pneumocyte:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:T-helper 9 cell:conventional dendritic cell:ILC1:|||:lymphocyte of B lineage, CD19-positive:B cell, CD19-positive:mature CD11c-negative plasmacytoid dendritic cell:immature CD8_alpha-positive CD11b-negative dendritic cell"
2,":|||:CD4-negative CD8-negative gamma-delta intraepithelial T cell:common lymphoid progenitor:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:type II pneumocyte:group 2 innate lymphoid cell:B-2 B cell:|||:type 2 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth:B220-positive CD38-positive IgG-negative class switched memory B cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:Tc2 cell"
20,":|||:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type II pneumocyte:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:naive thymus-derived CD4-positive, alpha-beta T cell:group 2 innate lymphoid cell:B-2 B cell:|||:B220-positive CD38-negative unswitched memory B cell:B220-low CD38-positive IgG-negative class switched memory B cell:B220-low CD38-positive naive B cell:B220-low CD38-negative unswitched memory B cell"
3,":|||:type II pneumocyte:type I pneumocyte:CD4-positive, alpha-beta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:R3 photoreceptor cell:DN3 thymocyte:T3 B cell:|||:CD38-negative IgG-negative class switched memory B cell:CD38-negative unswitched memory B cell:CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell:Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell"
4,":|||:alpha-beta intraepithelial T cell:CD4-positive, alpha-beta intraepithelial T cell:enterochromaffin-like cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD4-positive CD11b-positive dendritic cell:R4 photoreceptor cell:DN4 thymocyte:CD94-negative natural killer cell, mouse:|||:activated CD4-positive, alpha-beta T cell:CD4-negative, CD8-negative type I NK T cell secreting interleukin-4:CD4-positive, CD8-intermediate double-positive thymocyte:T-helper 1 cell"
