source,target
DC1,"placental villous trophoblast:decidual cell:mesodermal cell:placental villus capillary endothelial cell:|||:conventional dendritic cell:pancreatic stellate cell:placental hematopoietic stem cell:placental pericyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell:plasmacytoid dendritic cell:dendritic epidermal T cell:ILC1"
DC2,"placental villous trophoblast:decidual cell:mesodermal cell:placental villus capillary endothelial cell:|||:plasmacytoid dendritic cell:placental amniotic mesenchymal stromal cell:placental pericyte:pancreatic stellate cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell:conventional dendritic cell:dendritic epidermal T cell:group 2 innate lymphoid cell"
EVT,"placental villous trophoblast:mesodermal cell:decidual cell:epithelial cell of uterus:|||:placental hematopoietic stem cell:placental villus capillary endothelial cell:placental pericyte:placental epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:early T lineage precursor:dendritic epidermal T cell:gamete:pigmented ciliary epithelial cell:|||:biogenic amine secreting cell:immature single positive thymocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:thyroid hormone secreting cell"
Endo (f),"decidual cell:mesodermal cell:uterine smooth muscle cell:placental villous trophoblast:|||:pancreatic stellate cell:pericyte cell:T follicular helper cell:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:tendon cell:endodermal cell:endospore:band form neutrophil:|||:eurydendroid cell:vasa recta ascending limb cell:embryonic blood vessel endothelial progenitor cell:acidophil cell of pars distalis of adenohypophysis"
Endo (m),"decidual cell:uterine smooth muscle cell:mesodermal cell:placental villous trophoblast:|||:pancreatic stellate cell:early T lineage precursor:professional antigen presenting cell:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:tendon cell:endodermal cell:endospore:band form neutrophil:|||:glandular cell of endometrium:stromal cell of endometrium:endometrial microvascular endothelial cells:eurydendroid cell"
Endo L,"decidual cell:mesodermal cell:uterine smooth muscle cell:placental villous trophoblast:|||:pancreatic stellate cell:placental amniotic mesenchymal stromal cell:placental epithelial cell:placental hematopoietic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:tendon cell:endodermal cell:endosteal cell:endocrine cell:|||:primary cultured cell:melanocyte of eyelid:type 2 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth:type EC enteroendocrine cell"
Epi1,"decidual cell:epithelial cell of uterus:epithelial cell of alimentary canal:mesodermal cell:|||:placental epithelial cell:placental hematopoietic stem cell:placental villus capillary endothelial cell:placental pericyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common lymphoid progenitor:adult endothelial progenitor cell:eosinophil progenitor cell:early T lineage precursor:|||:basal cell of epithelium of trachea:type 1 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth:stem cell of epidermis:conjunctival epithelial cell"
Epi2,"decidual cell:epithelial cell of uterus:epithelial cell of alimentary canal:mesodermal cell:|||:placental epithelial cell:placental villus capillary endothelial cell:placental villous trophoblast:placental pericyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:early lymphoid progenitor:common lymphoid progenitor:megakaryocyte-erythroid progenitor cell:eosinophil progenitor cell:|||:vacuolar absorptive cell of epithelium of colon:basal epithelial cell of prostatic duct:Feyrter cell:type II pneumocyte"
Granulocytes,"mesodermal cell:placental villous trophoblast:uterine smooth muscle cell:decidual cell:|||:granulocyte:group 2 innate lymphoid cell, mouse:group 2 innate lymphoid cell:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:retinal ganglion cell:primitive reticulocyte:trabecular meshwork cell:type II pneumocyte"
HB,"placental villous trophoblast:mesodermal cell:chorionic membrane mesenchymal stem cell:epithelial cell of uterus:|||:placental hematopoietic stem cell:placental villus capillary endothelial cell:placental pericyte:placental epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:hematopoietic stem cell:T follicular helper cell:naive thymus-derived CD4-positive, alpha-beta T cell:erythrocyte:|||:mature CD8_alpha-negative CD11b-negative dendritic cell:immature CD8_alpha-positive CD11b-negative dendritic cell:mature CD8_alpha-positive CD11b-negative dendritic cell:Kit and Sca1-positive hematopoietic stem cell"
