source,target
Distal convoluted tubule_Pvalb high(Kidney),"kidney cortex tubule cell:kidney proximal straight tubule epithelial cell:kidney cortex peritubular capillary cell:kidney outer medulla peritubular capillary cell:|||:kidney distal convoluted tubule epithelial cell:non-pigmented ciliary epithelial cell:endothelial cell of lymphatic vessel:early lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:kidney proximal convoluted tubule epithelial cell:epithelial cell of distal tubule:epithelial cell of intermediate tubule:kidney connecting tubule epithelial cell:|||:myotube:common lymphoid progenitor:megakaryocyte-erythroid progenitor cell:early T lineage precursor"
Distal convoluted tubule_S100g high(Kidney),"kidney cortex tubule cell:kidney proximal straight tubule epithelial cell:kidney outer medulla peritubular capillary cell:glomerular mesangial cell:|||:kidney distal convoluted tubule epithelial cell:immature single positive thymocyte:endothelial cell of lymphatic vessel:kidney proximal convoluted tubule epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of distal tubule:epithelial cell of intermediate tubule:kidney connecting tubule epithelial cell:distal tip cell (sensu Nematoda):|||:oligodendrocyte:myotube:CD14-positive monocyte:male gonocyte"
Dividing T cells(Lung),"epithelial cell of lung:pneumocyte:mesodermal cell:mesothelial cell of visceral pleura:|||:T cell:gamma-delta T cell:type D enteroendocrine cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:lining cell:type I NK T cell:diploid cell:hepatic stellate cell:|||:type N enteroendocrine cell:B cell:Feyrter cell:nodal myocyte"
Dividing cell(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:mammary alveolar cell:myoepithelial cell of acinus of lactiferous gland:ectodermal cell:|||:type G enteroendocrine cell:kidney granular cell:natural killer cell:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:luminal epithelial cell of mammary gland:acinar cell of salivary gland:erythroid progenitor cell, mammalian:|||:M cell of gut:B cell:nodal myocyte:Feyrter cell"
Dividing cell(Neonatal-Heart),"cardiac muscle myoblast:primordial germ cell:fetal derived definitive erythrocyte:primitive red blood cell:|||:type G enteroendocrine cell:kidney granular cell:natural killer cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:visual pigment cell (sensu Vertebrata):pigment cell (sensu Vertebrata):compound eye cone cell:distal tip cell (sensu Nematoda):|||:type D enteroendocrine cell:nodal myocyte:M cell of gut:Feyrter cell"
Dividing cell(Neonatal-Rib),"adaxial cell:|||:type G enteroendocrine cell:kidney granular cell:natural killer cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:distal tip cell (sensu Nematoda):visual pigment cell (sensu Vertebrata):myocardial endocrine cell of atrium:sheath cell (sensu Nematoda):|||:M cell of gut:nodal myocyte:B cell:T cell"
Dividing cell(Neonatal-Skin),"epithelial cell of skin gland:keratinocyte:dermis blood vessel endothelial cell:nonkeratinized cell of epidermis:|||:type G enteroendocrine cell:natural killer cell:kidney granular cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:distal tip cell (sensu Nematoda):visual pigment cell (sensu Vertebrata):sheath cell (sensu Nematoda):epidermal cell:|||:type N enteroendocrine cell:M cell of gut:B cell:parafollicular cell"
Dividing cell(Pancreas),"pancreatic acinar cell:pancreatic D cell:pancreatic PP cell:epithelial cell of exocrine pancreas:|||:type G enteroendocrine cell:kidney granular cell:natural killer cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of pancreas:stromal cell of pancreas:myotube:lining cell:|||:type N enteroendocrine cell:Feyrter cell:type D enteroendocrine cell:M cell of gut"
Dividing cell(Stomach),"mucous cell of stomach:gastric goblet cell:|||:type G enteroendocrine cell:natural killer cell:kidney granular cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peptic cell:type D cell of stomach:epithelial cell of stomach:foveolar cell of stomach:|||:Feyrter cell:T cell:parafollicular cell:B cell"
Dividing cells(Lung),"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:type G enteroendocrine cell:kidney granular cell:natural killer cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:lining cell:diploid cell:conventional dendritic cell:dendritic cell:|||:Feyrter cell:B cell:type N enteroendocrine cell:nodal myocyte"
Dividing dendritic cells(Lung),"epithelial cell of lung:pneumocyte:mesodermal cell:mesothelial cell of visceral pleura:|||:dendritic cell, human:dendritic cell:parafollicular cell:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:liver dendritic cell:myeloid dendritic cell, human:myeloid dendritic cell:adipose dendritic cell:|||:Tc2 cell:tip cell:M cell of gut:type G enteroendocrine cell"
Dividng cell(Neonatal-Calvaria),"calvarial osteoblast:|||:type G enteroendocrine cell:pro-T cell:DN4 thymocyte:decidual natural killer cell, human:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:distal tip cell (sensu Nematoda):acinar cell of salivary gland:epidermal cell (sensu arthropoda):pigment cell (sensu Nematoda and Protostomia):|||:DN3 thymocyte:DN2 thymocyte:natural killer cell:kidney granular cell"
Ductal cell(Pancreas),"pancreatic acinar cell:pancreatic D cell:type B pancreatic cell:epithelial cell of exocrine pancreas:|||:pancreatic ductal cell:Kolmer-Agduhr neuron:type D enteroendocrine cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:epithelial cell of pancreas:structural cell:luteal cell:|||:type G enteroendocrine cell:Feyrter cell:M cell of gut:parafollicular cell"
Elongating spermatid(Testis),"gestational hematopoietic stem cell:embryonic fibroblast:Leydig cell:primitive red blood cell:|||:pigmented ciliary epithelial cell:spermatid:sperm:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:secondary spermatocyte:X chromosome-bearing sperm cell:Y chromosome-bearing sperm cell:long term hematopoietic stem cell:|||:type II pneumocyte:spermatocyte:enterochromaffin-like cell:common lymphoid progenitor"
Endocrine cell(Pancreas),"epithelial cell of exocrine pancreas:pancreatic acinar cell:pancreatic centro-acinar cell:pancreatic D cell:|||:endocrine cell:pancreatic endocrine cell:Be cell:natural killer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoendocrine cell:exocrine cell:neuroendocrine cell:enteroendocrine cell:|||:apocrine cell:type G enteroendocrine cell:type N enteroendocrine cell:eccrine cell"
Endothelial cell(Kidney),"macula densa epithelial cell:parietal epithelial cell:kidney pelvis urothelial cell:glomerular capillary endothelial cell:|||:endothelial cell:glial cell:mesothelial cell:urothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:vein endothelial cell:endothelial tip cell:gut endothelial cell:endo-epithelial cell:|||:Kolmer-Agduhr neuron:M cell of gut:type G enteroendocrine cell:type N enteroendocrine cell"
Endothelial cell(Liver),"epithelial cell of alimentary canal:endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:|||:endothelial cell:vein endothelial cell:glial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gut endothelial cell:endo-epithelial cell:endothelial tip cell:endothelial cell of venule:|||:urothelial cell:Kolmer-Agduhr neuron:T cell:B cell"
Endothelial cell(Muscle),"cell of skeletal muscle:adaxial cell:|||:endothelial cell:gut endothelial cell:glial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of venule:endo-epithelial cell:endothelial tip cell:vein endothelial cell:|||:urothelial cell:Kolmer-Agduhr neuron:M cell of gut:T cell"
Endothelial cell(Neonatal-Calvaria),"calvarial osteoblast:|||:endothelial cell:glial cell:gut endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endocardial cell:endothelial cell of umbilical vein:endothelial cell of artery:endothelial cell of arteriole:|||:urothelial cell:Kolmer-Agduhr neuron:parafollicular cell:T cell"
Endothelial cell(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:endothelial cell:glial cell:gut endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of venule:endothelial cell of artery:endothelial cell of arteriole:endothelial cell of vascular tree:|||:urothelial cell:Kolmer-Agduhr neuron:nodal myocyte:B cell"
Endothelial cell(Neonatal-Rib),"adaxial cell:|||:endothelial cell:glial cell:mesothelial cell:urothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of arteriole:endothelial cell of artery:endocardial cell:endothelial cell of venule:|||:Kolmer-Agduhr neuron:type D enteroendocrine cell:Feyrter cell:type N enteroendocrine cell"
Endothelial cell(Neonatal-Skin),"epithelial cell of skin gland:dermis blood vessel endothelial cell:dermis lymphatic vessel endothelial cell:epidermal melanocyte:|||:endothelial cell:glial cell:mesothelial cell:urothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:vein endothelial cell:endothelial cell of sinusoid:epidermal cell:endothelial cell of arteriole:|||:Kolmer-Agduhr neuron:nodal myocyte:type N enteroendocrine cell:M cell of gut"
Endothelial cell_Cldn5 high(Uterus),"epithelial cell of cervix:placental epithelial cell:endometrial microvascular endothelial cells:stromal cell of endometrium:|||:endothelial cell:glial cell:gut endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of uterus:endothelial cell of artery:endothelial cell of sinusoid:endothelial cell of coronary artery:|||:urothelial cell:Kolmer-Agduhr neuron:parafollicular cell:type G enteroendocrine cell"
Endothelial cell_Eln high(Neonatal-Heart),"smooth muscle cell of the pulmonary artery:fetal derived definitive erythrocyte:cardiac muscle myoblast:mesodermal cell:|||:endothelial cell:glial cell:gut endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of artery:endothelial cell of high endothelial venule:endothelial cell of venule:endothelial cell of arteriole:|||:urothelial cell:Kolmer-Agduhr neuron:B cell:type G enteroendocrine cell"
Endothelial cell_Enpp2 high(Neonatal-Heart),"smooth muscle cell of the pulmonary artery:fetal derived definitive erythrocyte:epicardial adipocyte:cardiac muscle myoblast:|||:endothelial cell:gut endothelial cell:glial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of artery:endothelial cell of high endothelial venule:endothelial cell of arteriole:endothelial cell of venule:|||:urothelial cell:Kolmer-Agduhr neuron:Feyrter cell:T cell"
Endothelial cell_Fabp4 high(Pancreas),"epithelial cell of exocrine pancreas:pancreatic D cell:pancreatic acinar cell:type B pancreatic cell:|||:endothelial cell:glial cell:mesothelial cell:epithelial cell of pancreas:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of artery:vein endothelial cell:endothelial cell of sinusoid:endothelial cell of arteriole:|||:urothelial cell:Kolmer-Agduhr neuron:M cell of gut:nodal myocyte"
Endothelial cell_Igfbp5 high(Neonatal-Heart),"smooth muscle cell of the pulmonary artery:fetal derived definitive erythrocyte:epicardial adipocyte:mesodermal cell:|||:endothelial cell:glial cell:gut endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of high endothelial venule:endothelial cell of venule:endothelial cell of artery:endothelial cell of coronary artery:|||:urothelial cell:Kolmer-Agduhr neuron:type G enteroendocrine cell:parafollicular cell"
Endothelial cell_Kdr high(Lung),"epithelial cell of lung:mesothelial cell of visceral pleura:pneumocyte:epithelial cell of lower respiratory tract:|||:endothelial cell:gut endothelial cell:glial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:vein endothelial cell:endocardial cell:endothelial cell of sinusoid:endothelial tip cell:|||:urothelial cell:Kolmer-Agduhr neuron:parafollicular cell:Feyrter cell"
Endothelial cell_Lrg1 high(Pancreas),"epithelial cell of exocrine pancreas:pancreatic D cell:pancreatic acinar cell:type B pancreatic cell:|||:endothelial cell:glial cell:epithelial cell of pancreas:corneal endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of artery:vein endothelial cell:endothelial cell of arteriole:endothelial cell of sinusoid:|||:mesothelial cell:urothelial cell:Kolmer-Agduhr neuron:type N enteroendocrine cell"
Endothelial cell_Ly6c1 high(Bladder),"urothelial cell of trigone of urinary bladder:bladder urothelial cell:mesodermal cell:renal filtration cell:|||:endothelial cell:glial cell:mesothelial cell:urothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of gall bladder:endothelial cell of artery:endothelial cell of arteriole:endothelial cell of venule:|||:Kolmer-Agduhr neuron:parafollicular cell:nodal myocyte:type D enteroendocrine cell"
Endothelial cell_Tm4sf1 high(Pancreas),"epithelial cell of exocrine pancreas:pancreatic D cell:pancreatic acinar cell:type B pancreatic cell:|||:endothelial cell:glial cell:corneal endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of pancreas:endothelial cell of artery:vein endothelial cell:endothelial cell of sinusoid:|||:urothelial cell:Kolmer-Agduhr neuron:parafollicular cell:Feyrter cell"
Endothelial cell_Tm4sf1 high(Uterus),"epithelial cell of cervix:placental epithelial cell:stromal cell of endometrium:glandular cell of endometrium:|||:endothelial cell:gut endothelial cell:glial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of uterus:endothelial cell of artery:endothelial cell of sinusoid:endothelial cell of venule:|||:urothelial cell:Kolmer-Agduhr neuron:parafollicular cell:Feyrter cell"
Endothelial cell_Tmem100 high(Lung),"epithelial cell of lung:mesothelial cell of visceral pleura:pneumocyte:epithelial cell of lower respiratory tract:|||:endothelial cell:glial cell:gut endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:vein endothelial cell:endothelial cell of arteriole:endothelial cell of sinusoid:endothelial cell of venule:|||:urothelial cell:Kolmer-Agduhr neuron:M cell of gut:parafollicular cell"
Endothelial cells_Vwf high(Lung),"epithelial cell of lung:mesothelial cell of visceral pleura:pneumocyte:epithelial cell of lower respiratory tract:|||:endothelial cell:glial cell:gut endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:vein endothelial cell:endothelial cell of sinusoid:endothelial cell of venule:endothelial cell of arteriole:|||:urothelial cell:Kolmer-Agduhr neuron:type N enteroendocrine cell:T cell"
Eosinophil granulocyte(Lung),"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:granulocyte:eosinophil:group 2 innate lymphoid cell:group 2 innate lymphoid cell, mouse:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:eosinophilic promyelocyte:eosinophilic myelocyte:eosinophilic metamyelocyte:neutrophilic promyelocyte:|||:acidophilic cytoplasm:oocyte:retinal ganglion cell:amniocyte"
Eosinophil progenitor cell(Bone-Marrow_c-kit),"mesodermal cell:leukocyte:bone cell:|||:eosinophil:eosinophil progenitor cell:basophil progenitor cell:hepatic stellate cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophil progenitor cell:common myeloid progenitor, CD34-positive:common myeloid progenitor:basophil mast progenitor cell:|||:Tr1 cell:pro-B cell:pro-T cell:R6 photoreceptor cell"
Epithelia cell_Spp1 high(Liver),"epithelial cell of alimentary canal:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:mesodermal cell:|||:epithelial cell:mature natural killer cell:Kolmer-Agduhr neuron:lens epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of uterus:cholangiocyte:epithelial cell of gall bladder:epithelial cell of esophagus:|||:type N enteroendocrine cell:M cell of gut:T cell:type D enteroendocrine cell"
Epithelial cell(Liver),"epithelial cell of alimentary canal:endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:|||:epithelial cell:glial cell:adepithelial cell:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell:epithelial cell of uterus:epithelial cell of cervix:sensory epithelial cell:|||:M cell of gut:B cell:Feyrter cell:type N enteroendocrine cell"
Epithelial cell(Neonatal-Heart),"epicardial adipocyte:smooth muscle cell of the pulmonary artery:primordial germ cell:mesodermal cell:|||:epithelial cell:glial cell:adepithelial cell:mammary gland epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:corneal epithelial cell:epithelial cell of uterus:epithelial cell of nephron:epithelial cell of urethra:|||:Kolmer-Agduhr neuron:type N enteroendocrine cell:myoepithelial cell:B cell"
Epithelial cell(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:epithelial cell:glial cell:adepithelial cell:epithelial cell of lung:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of thymus:epithelial cell of distal tubule:epithelial cell of Malassez:epithelial cell of anal column:|||:Kolmer-Agduhr neuron:nodal myocyte:T cell:type D enteroendocrine cell"
Epithelial cell(Neonatal-Skin),"epithelial cell of skin gland:epidermal melanocyte:stem cell of epidermis:keratinocyte:|||:epithelial cell:glial cell:myoepithelial cell:adepithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epidermal cell:epithelial cell of amnion:epithelial cell of lung:epithelial cell of nephron:|||:Kolmer-Agduhr neuron:Feyrter cell:T cell:M cell of gut"
Epithelial cell(Prostate),"epithelial cell of prostatic acinus:epithelial cell of prostatic duct:basal epithelial cell of prostatic duct:luminal epithelial cell of prostatic duct:|||:epithelial cell:adepithelial cell:lens epithelial cell:epithelial cell of lung:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of prostate:epithelial cell of stomach:epithelial cell of distal tubule:endocrine-paracrine cell of prostate gland:|||:glial cell:Kolmer-Agduhr neuron:basal cell of prostatic acinus:type G enteroendocrine cell"
Epithelial cell_Cryab high(Kidney),"epithelial cell of glomerular capsule:parietal epithelial cell:kidney pelvis urothelial cell:macula densa epithelial cell:|||:kidney epithelial cell:epithelial cell:glial cell:myoepithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epidermal cell:urothelial cell of trigone of urinary bladder:corneal epithelial cell:epithelial cell of large intestine:|||:adepithelial cell:Kolmer-Agduhr neuron:Feyrter cell:T cell"
Epithelial cell_Gkn3 high(Stomach),"gastric goblet cell:mucous cell of stomach:|||:epithelial cell:glial cell:adepithelial cell:epithelial cell of thymus:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of stomach:epithelial cell of skin gland:epithelial cell of Malassez:epithelial cell of lacrimal sac:|||:Kolmer-Agduhr neuron:type D enteroendocrine cell:nodal myocyte:T cell"
Epithelial cell_Gm23935 high(Bladder),"urothelial cell of trigone of urinary bladder:bladder urothelial cell:primitive red blood cell:primordial germ cell:|||:epithelial cell:glial cell:adepithelial cell:barrier epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of gall bladder:epithelial cell of skin gland:epithelial cell of thyroid gland:epithelial cell of thymus:|||:Kolmer-Agduhr neuron:Feyrter cell:myoepithelial cell:nodal myocyte"
Epithelial cell_Kcne3 high(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:endothelial cell of Peyer's patch:pancreatic goblet cell:|||:epithelial cell:intestinal epithelial cell:glial cell:adepithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of small intestine:epithelial cell of large intestine:type D cell of small intestine:epithelial cell of Malassez:|||:Kolmer-Agduhr neuron:myoepithelial cell:M cell of gut:T cell"
Epithelial cell_Krt20 high(Stomach),"gastric goblet cell:mucous cell of stomach:|||:epithelial cell:glial cell:adepithelial cell:epithelial cell of thymus:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of stomach:epithelial cell of urethra:epithelial cell of Malassez:epithelial cell of prostate:|||:Kolmer-Agduhr neuron:nodal myocyte:parafollicular cell:T cell"
Epithelial cell_Pla2g1b high(Stomach),"gastric goblet cell:mucous cell of stomach:|||:epithelial cell:glial cell:adepithelial cell:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of stomach:epithelial cell of large intestine:epithelial cell of lacrimal sac:epithelial cell of lacrimal duct:|||:type G enteroendocrine cell:B cell:parafollicular cell:nodal myocyte"
Epithelial cell_Sh2d6 high(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:endothelial cell of Peyer's patch:enteric smooth muscle cell:|||:epithelial cell:intestinal epithelial cell:glial cell:adepithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of small intestine:epithelial cell of large intestine:type D cell of small intestine:epithelial cell of Malassez:|||:Kolmer-Agduhr neuron:T cell:Feyrter cell:B cell"
Epithelial cell_Upk3a high(Bladder),"urothelial cell of trigone of urinary bladder:bladder urothelial cell:primitive red blood cell:primordial germ cell:|||:epithelial cell:glial cell:adepithelial cell:barrier epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of gall bladder:epithelial cell of thyroid gland:epithelial cell of skin gland:epithelial cell of sweat gland:|||:Kolmer-Agduhr neuron:M cell of gut:type D enteroendocrine cell:parafollicular cell"
Epithelium of small intestinal villi_Fabp1 high(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:enterocyte of epithelium of duodenal gland:pancreatic goblet cell:|||:type D cell of small intestine:paneth cell of epithelium of small intestine:epithelial cell of small intestine:enterocyte of epithelium of intestinal villus:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:intestinal villus goblet cell:enterocyte of epithelium of crypt of Lieberkuhn of small intestine:small intestine goblet cell:enterocyte of epithelium proper of small intestine:|||:retinal cell:Leydig cell:epithelial cell:myofibroblast cell"
Epithelium of small intestinal villi_Fabp6 high(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:enterocyte of epithelium of duodenal gland:pancreatic goblet cell:|||:type D cell of small intestine:paneth cell of epithelium of small intestine:epithelial cell of small intestine:enterocyte of epithelium of intestinal villus:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:intestinal villus goblet cell:small intestine goblet cell:enterocyte of epithelium of crypt of Lieberkuhn of small intestine:microfold cell of epithelium of intestinal villus:|||:retinal cell:Leydig cell:epithelial cell:myofibroblast cell"
Epithelium of small intestinal villi_Gm23935 high(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:enterocyte of epithelium of duodenal gland:pancreatic goblet cell:|||:paneth cell of epithelium of small intestine:type D cell of small intestine:enterocyte of epithelium of intestinal villus:epithelial cell of small intestine:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:intestinal villus goblet cell:small intestine goblet cell:enterocyte of epithelium of crypt of Lieberkuhn of small intestine:microfold cell of epithelium of intestinal villus:|||:retinal cell:Leydig cell:epithelial cell:intraepithelial lymphocyte"
Epithelium of small intestinal villi_S100g high(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:enterocyte of epithelium of duodenal gland:pancreatic goblet cell:|||:type D cell of small intestine:paneth cell of epithelium of small intestine:enterocyte of epithelium of intestinal villus:epithelial cell of small intestine:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:intestinal villus goblet cell:small intestine goblet cell:microfold cell of epithelium of intestinal villus:epithelial cell of large intestine:|||:retinal cell:Leydig cell:epithelial cell:CD4-positive, alpha-beta intraepithelial T cell"
