source,target
Astroglial cell(Bergman glia)(Brain),"choroid plexus epithelial cell:leptomeningeal cell:ectodermal cell:striatum neuron:|||:glial cell:brain macroglial cell:macroglial cell:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:sheath cell (sensu Nematoda):epithelial cell of sweat gland:mesothelial cell of visceral pleura:stromal cell of ovarian medulla:|||:parafollicular cell:M cell of gut:type G enteroendocrine cell:nodal myocyte"
Atrial cardiomyocyte(Neonatal-Heart),"cardiac muscle myoblast:epicardial adipocyte:fetal derived definitive erythrocyte:gestational hematopoietic stem cell:|||:muscle cell:cardiac muscle cell:fetal cardiomyocyte:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:regular atrial cardiac myocyte:regular interatrial cardiac myocyte:transitional myocyte of interatrial septum:transitional myocyte of sinoatrial node:|||:myelocyte:type II pneumocyte:primordial germ cell:ionocyte"
Atrial cardiomyocyte_Acta2 high(Neonatal-Heart),"cardiac muscle myoblast:epicardial adipocyte:gestational hematopoietic stem cell:fetal derived definitive erythrocyte:|||:muscle cell:cardiac muscle cell:fetal cardiomyocyte:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipocyte of epicardial fat of right ventricle:transitional myocyte of interatrial septum:transitional myocyte of internodal tract:transitional myocyte of sinoatrial node:|||:myelocyte:type II pneumocyte:oncocyte:CD14-positive monocyte"
B Cell(Lung),"epithelial cell of lung:brush cell of lobular bronchiole:mesodermal cell:basal cell of epithelium of lobular bronchiole:|||:B cell:germinal center B cell:Be cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B-2 B cell:Be1 Cell:Be2 cell:B-1a B cell:|||:parafollicular cell:nodal myocyte:M cell of gut:type N enteroendocrine cell"
B cell(Bone-Marrow_c-kit),"bone cell:mesodermal cell:leukocyte:|||:B cell:follicular B cell:bone marrow cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor:common myeloid progenitor, CD34-positive:brush cell of terminal bronchiole:type B pancreatic cell:|||:B-2 B cell:B-1 B cell:type D enteroendocrine cell:type G enteroendocrine cell"
B cell(Kidney),"extraglomerular mesangial cell:kidney pelvis cell:kidney medulla cell:kidney cortical cell:|||:B cell:B-2 B cell:B-1 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be1 Cell:type B pancreatic cell:Be2 cell:regulatory B cell:|||:type G enteroendocrine cell:parafollicular cell:M cell of gut:type N enteroendocrine cell"
B cell(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:B cell:T3 B cell:B-2 B cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:skeletal muscle myoblast:brush cell of trachea:type B pancreatic cell:fetal cardiomyocyte:|||:Be cell:parafollicular cell:Feyrter cell:T cell"
B cell(Neonatal-Rib),"adaxial cell:|||:B cell:B-1 B cell:B-2 B cell:B-1b B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:sheath cell (sensu Nematoda):embryonic cell (metazoa):socket cell (sensu Nematoda):support cell (sensu Nematoda):|||:Be cell:type G enteroendocrine cell:type N enteroendocrine cell:nodal myocyte"
B cell(Pancreas),"pancreatic acinar cell:type B pancreatic cell:pancreatic PP cell:pancreatic D cell:|||:B cell:B-2 B cell:Be cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:epithelial cell of pancreas:brush cell of trachea:adipocyte of breast:|||:type N enteroendocrine cell:Feyrter cell:nodal myocyte:T cell"
B cell(Thymus),"Leydig cell:primitive red blood cell:primordial germ cell:seminiferous tubule epithelial cell:|||:B cell:B-1 B cell:Be cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of thymus:regulatory B cell:Be2 cell:Be1 Cell:|||:nodal myocyte:T cell:type G enteroendocrine cell:type D enteroendocrine cell"
B cell(Uterus),"epithelial cell of cervix:stromal cell of endometrium:decidual cell:placental villous trophoblast:|||:B cell:B-1 B cell:B-2 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of uterus:B-1b B cell:Be1 Cell:B-1a B cell:|||:parafollicular cell:type N enteroendocrine cell:T cell:M cell of gut"
B cell_Cd79a&Fcer2a high(Mammary-Gland-Virgin),"myoepithelial cell of acinus of lactiferous gland:myoepithelial cell of lactiferous alveolus:mammary alveolar cell:ectodermal cell:|||:B cell:T3 B cell:B-1 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:fibroblast of mammary gland:luminal epithelial cell of mammary gland:acinar cell of salivary gland:|||:B-2 B cell:type G enteroendocrine cell:parafollicular cell:type D enteroendocrine cell"
B cell_Cd79a&Iglc2 high(Mammary-Gland-Virgin),"myoepithelial cell of acinus of lactiferous gland:myoepithelial cell of lactiferous alveolus:mammary alveolar cell:ectodermal cell:|||:B cell:T3 B cell:Be cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:luminal epithelial cell of mammary gland:fibroblast of mammary gland:acinar cell of salivary gland:|||:B-1 B cell:M cell of gut:type D enteroendocrine cell:type G enteroendocrine cell"
B cell_Fcmr high(Liver),"epithelial cell of alimentary canal:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:mesodermal cell:|||:B cell:B-2 B cell:B-1 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:littoral cell of liver:club cell:B cell, CD19-positive:|||:T cell:M cell of gut:type N enteroendocrine cell:parafollicular cell"
B cell_Igha high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:pigmented ciliary epithelial cell:B cell:follicular B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peripheral blood stem cell:epidermal cell (sensu arthropoda):peripheral blood mononuclear cell:mononuclear cell:|||:Be cell:B-1 B cell:M cell of gut:type N enteroendocrine cell"
B cell_Ighd high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:B cell:type D cell of small intestine:B-2 B cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:PP cell of intestine:paneth cell of epithelium of small intestine:|||:Be cell:M cell of gut:Feyrter cell:nodal myocyte"
B cell_Igkc high(Bone-Marrow),"bone cell:leukocyte:mesodermal cell:|||:B cell:follicular B cell:bone marrow cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor:common myeloid progenitor, CD34-positive:mesenchymal stem cell of the bone marrow:sheath cell (sensu Nematoda):|||:B-2 B cell:B-1 B cell:parafollicular cell:type G enteroendocrine cell"
B cell_Igkv12-46 high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:B cell:type D cell of small intestine:B-2 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:paneth cell of epithelium of small intestine:smooth muscle cell of small intestine:|||:B-1 B cell:parafollicular cell:nodal myocyte:Feyrter cell"
B cell_Jchain high(Liver),"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:mesodermal cell:|||:B cell:Be cell:B-1 B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:native cell:B cell, CD19-positive:littoral cell of liver:|||:T cell:nodal myocyte:parafollicular cell:type D enteroendocrine cell"
B cell_Jchain high(Mammary-Gland-Virgin),"myoepithelial cell of acinus of lactiferous gland:myoepithelial cell of lactiferous alveolus:mammary alveolar cell:ectodermal cell:|||:B cell:T3 B cell:B-2 B cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:fibroblast of mammary gland:luminal epithelial cell of mammary gland:acinar cell of salivary gland:|||:Be cell:Feyrter cell:M cell of gut:nodal myocyte"
B cell_Jchain high(Muscle),"cell of skeletal muscle:adaxial cell:|||:B cell:T3 B cell:B-2 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:pancreatic PP cell:pro-B cell:pre-B-I cell:|||:B-1 B cell:type N enteroendocrine cell:type D enteroendocrine cell:type G enteroendocrine cell"
B cell_Jchain high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:B cell:type D cell of small intestine:B-1 B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:smooth muscle cell of small intestine:paneth cell of epithelium of small intestine:|||:Be cell:nodal myocyte:parafollicular cell:M cell of gut"
