source,target
Alveolar_Type1,"mesodermal cell:epithelial cell of lower respiratory tract:fibroblast of lung:|||:eosinophil progenitor cell:early T lineage precursor:granulocyte monocyte progenitor cell:pericyte cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:alveolar macrophage:type I pneumocyte:type II pneumocyte:brush cell:|||:pigmented ciliary epithelial cell:bronchioalveolar stem cell:non-pigmented ciliary epithelial cell:common lymphoid progenitor"
Alveolar_Type2,"mesodermal cell:epithelial cell of lower respiratory tract:fibroblast of lung:|||:early T lineage precursor:pericyte cell:oligodendrocyte:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:alveolar macrophage:type II pneumocyte:type I pneumocyte:brush cell:|||:pigmented ciliary epithelial cell:bronchioalveolar stem cell:enterochromaffin-like cell:common lymphoid progenitor"
B_CD27neg,"epithelial cell of stratum germinativum of esophagus:ciliated epithelial cell of esophagus:|||:embryonic stem cell:conventional dendritic cell:eosinophil progenitor cell:erythrocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:regulatory B cell:CD8-positive, alpha-beta regulatory T cell:natural T-regulatory cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:|||:CD27-negative gamma-delta T cell:CD86-positive plasmablast:CD8-positive, CD28-negative, alpha-beta regulatory T cell:CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor"
B_CD27pos,"ciliated epithelial cell of esophagus:epithelial cell of stratum germinativum of esophagus:|||:eosinophil progenitor cell:embryonic stem cell:common dendritic progenitor:immature single positive thymocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD27-positive gamma-delta T cell:basophil mast progenitor cell:cardioblast:B cell, CD19-positive:|||:plasmablast:CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor:CD25-positive, CD27-positive immature gamma-delta T cell:CD11b-positive, CD27-positive natural killer cell, mouse"
B_Hypermutation,"splenic marginal zone macrophage:marginal zone B cell:splenic metallophillic macrophage:mesodermal cell:|||:type I pneumocyte:sperm:type II pneumocyte:mucosal type mast cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:spermatid:spermatogonium:spermatocyte:Fraction C precursor B cell:|||:pigmented ciliary epithelial cell:non-pigmented ciliary epithelial cell:Fraction A pre-pro B cell:Fraction B precursor B cell"
B_T_doublet,"mesodermal cell:marginal zone B cell:mesenchymal stem cell of abdominal adipose:splenic metallophillic macrophage:|||:Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell:immature single positive thymocyte:endothelial cell of lymphatic vessel:early T lineage precursor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:DN4 thymocyte:DN3 thymocyte:DN2 thymocyte:myotube:|||:CD4-positive, CD8-intermediate double-positive thymocyte:double-positive blast:ooblast:dendritic epidermal T cell"
B_cells,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:B cell:mast cell:marginal zone B cell:B-1a B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B-2 B cell:Be cell:B-1 B cell:Be1 Cell:|||:mature B cell:IgA memory B cell:class switched memory B cell:IgM memory B cell"
B_follicular,"splenic metallophillic macrophage:mesodermal cell:marginal zone B cell:splenic marginal zone macrophage:|||:secondary follicular cell of ovary:thyroid follicular cell:enterochromaffin-like cell:non-pigmented ciliary epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:follicular B cell:T follicular helper cell:parafollicular cell:ovarian follicle cell:|||:follicular cell of ovary:follicular epithelial cell:hair follicular keratinocyte:follicular dendritic cell"
B_mantle,"marginal zone B cell:mesodermal cell:splenic marginal zone macrophage:mesenchymal stem cell of abdominal adipose:|||:Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell:type II pneumocyte:natural T-regulatory cell:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:melanocyte:melanocyte stimulating hormone secreting cell:monocyte:medullary thymic epithelial cell:|||:anterior lateral line neuromast mantle cell:neuromast mantle cell:posterior lateral line neuromast mantle cell:type I pneumocyte"
Blood_vessel,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:gamma-delta intraepithelial T cell:adult endothelial progenitor cell:enterochromaffin-like cell:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:blood cell:kidney blood vessel cell:blood vessel endothelial cell:nucleate erythrocyte:|||:kidney arterial blood vessel cell:dermis blood vessel endothelial cell:embryonic blood vessel endothelial progenitor cell:retinal blood vessel endothelial cell"
