source,target
AT1,"mesodermal cell:pneumocyte:epithelial cell of lower respiratory tract:epithelial cell of lung:|||:type I pneumocyte:type II pneumocyte:long term hematopoietic stem cell:lung microvascular endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:induced T-regulatory cell:gamete:ooblast:platelet"
AT2,"mesodermal cell:pneumocyte:epithelial cell of lung:epithelial cell of lower respiratory tract:|||:type II pneumocyte:type I pneumocyte:lung microvascular endothelial cell:double negative thymocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:induced T-regulatory cell:gamete:ooblast:myoblast"
Basal1,"mesodermal cell:brush cell of lobular bronchiole:pneumocyte:mesothelial cell of visceral pleura:|||:bronchioalveolar stem cell:type I pneumocyte:basophil progenitor cell:type IV taste receptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell:basophil:blastemal cell:non-terminally differentiated cell:|||:epithelial cell of stratum germinativum of esophagus:basal cell of epithelium of respiratory bronchiole:respiratory basal cell:type III taste bud cell"
Basal2,"mesodermal cell:brush cell of lobular bronchiole:mesothelial cell of visceral pleura:pneumocyte:|||:bronchioalveolar stem cell:type II pneumocyte:basophil progenitor cell:limb basal cell of epidermis:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell:basophil:blastemal cell:non-terminally differentiated cell:|||:myoepithelial cell of acinus of lactiferous gland:strial basal cell:basal cell of prostate epithelium:basal cell of epithelium of trachea"
Basal3,"mesodermal cell:brush cell of lobular bronchiole:mesothelial cell of visceral pleura:pneumocyte:|||:bronchioalveolar stem cell:basophil progenitor cell:limb basal cell of epidermis:strial basal cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell:basophil:blastemal cell:non-terminally differentiated cell:|||:basal cell of epithelium of respiratory bronchiole:basal epithelial cell of prostatic duct:basal cell of urothelium:basal cell of epithelium of terminal bronchiole"
Basal_Mitotic,"mesodermal cell:pneumocyte:basal cell of epithelium of lobular bronchiole:epithelial cell of lung:|||:bronchioalveolar stem cell:interstitial cell of Cajal:basophil progenitor cell:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell:astrocyte:basophil:plasmatocyte:|||:type I pneumocyte:type II pneumocyte:mucosal type mast cell:placental amniotic mesenchymal stromal cell"
Ciliated,"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:single ciliated epithelial cell:multi-ciliated epithelial cell:club cell:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:ciliated cell:cardioblast:ciliated olfactory receptor neuron:brush cell:|||:ciliated columnar cell of tracheobronchial tree:ciliated cell of the bronchus:ciliated epithelial cell:ciliated epithelial cell of esophagus"
Ciliated1,"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:single ciliated epithelial cell:ciliated cell:type N enteroendocrine cell:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multi-ciliated epithelial cell:cardioblast:type I pneumocyte:ciliated olfactory receptor neuron:|||:ciliated columnar cell of tracheobronchial tree:ciliated cell of the bronchus:ciliated epithelial cell:club cell"
Ciliated2,"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:single ciliated epithelial cell:ciliated cell:type II pneumocyte:enterochromaffin-like cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multi-ciliated epithelial cell:brush cell:ciliated olfactory receptor neuron:cardioblast:|||:ciliated columnar cell of tracheobronchial tree:ciliated cell of the bronchus:club cell:ciliated epithelial cell"
Club,"mesodermal cell:brush cell of lobular bronchiole:epithelial cell of lung:serous cell of epithelium of lobular bronchiole:|||:enterochromaffin-like cell:common lymphoid progenitor:retinal ganglion cell:lung microvascular endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:club cell:basophil progenitor cell:placental villous trophoblast:mesenchymal stem cell:|||:columnar cell of endocervix:enterocyte of epithelium of large intestine:endothelial cell of vascular tree:reticular cell"
Endothelial,"epithelial cell of lung:pneumocyte:mesodermal cell:mesothelial cell of visceral pleura:|||:circulating endothelial cell:splenic endothelial cell:placental villus capillary endothelial cell:hindlimb stylopod vein endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell:endo-epithelial cell:gut endothelial cell:endothelial tip cell:|||:endothelial cell of arteriole:endothelial cell of venule:blood vessel endothelial cell:kidney capillary endothelial cell"
FOXN4,"pneumocyte:brush cell of lobular bronchiole:epithelial cell of lung:mesodermal cell:|||:lung microvascular endothelial cell:non-classical monocyte:Bm2' B cell:secretin stimulating hormone secreting cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Fraction C precursor B cell:Fraction B precursor B cell:Fraction A pre-pro B cell:lymph node macrophage:|||:Kupffer cell:type II NK T cell secreting interferon-gamma:conidium of conidiophore head:type I cell of adrenal cortex"
Fibroblast,mesodermal cell:brush cell of lobular bronchiole:pneumocyte:epithelial cell of lower respiratory tract:|||:fibroblast:ooblast:perijunctional fibroblast:ovarian fibroblast:|||:fibroblast:cartwheel heterochromatin:gamma-delta intraepithelial T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:iridoblast:skin fibroblast:glioblast:marrow fibroblast
