source	target
AT1	type I pneumocyte
AT2	type II pneumocyte
Basal1	respiratory basal cell
Basal2	respiratory basal cell
Basal3	respiratory basal cell
Basal_Mitotic	respiratory basal cell
Ciliated	lung ciliated cell
Ciliated1	lung ciliated cell
Ciliated2	lung ciliated cell
Club	club cell
Endothelial	endothelial cell
FOXN4	ciliated cell
Fibroblast	fibroblast of lung
Fibroblasts	fibroblast of lung
Goblet	lung goblet cell
Immuno_Monocytes	monocyte
Immuno_TCells	T cell
Ionocyte	ionocyte
LymphaticEndothelium	endothelial cell of lymphatic vessel
Secretory1	secretory cell
Secretory2	secretory cell
Secretory3	secretory cell
