source,target
BM CD4 T cell,"bone cell:mesodermal cell:leukocyte:|||:T cell:gamma-delta T cell:parafollicular cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:T-helper 1 cell:Bm4 B cell:T-helper 17 cell:CD4-positive, alpha-beta thymocyte:|||:effector memory CD4-positive, alpha-beta T cell:naive thymus-derived CD4-positive, alpha-beta T cell:CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:effector CD4-positive, alpha-beta T cell"
BM CD8 + CD4 T cell,"mesodermal cell:bone cell:leukocyte:|||:T cell:gamma-delta T cell:M cell of gut:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8-positive, CD25-positive, alpha-beta regulatory T cell:CD8-positive, CD28-negative, alpha-beta regulatory T cell:Tc1 cell:Tc17 cell:|||:parafollicular cell:type D enteroendocrine cell:B cell:Feyrter cell"
Basal,"mesodermal cell:brush cell of lobular bronchiole:pneumocyte:mesothelial cell of visceral pleura:|||:bronchioalveolar stem cell:limb basal cell of epidermis:basal proper cell of olfactory epithelium:basal cell of olfactory epithelium:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell:basophil:blastemal cell:non-terminally differentiated cell:|||:myoepithelial cell of acinus of lactiferous gland:basal cell of epithelium of terminal bronchiole:basal cell of epithelium of bronchus:basal cell of epithelium of trachea"
Basal IFE,"fibroblast of dermis:neuromast mantle cell:neuromast hair cell:taste receptor cell:|||:bronchioalveolar stem cell:basal cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:basophil progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:blastemal cell:strial basal cell:respiratory basal cell:type X enteroendocrine cell:|||:basal cell of epithelium of lobular bronchiole:basal cell of epithelium of respiratory bronchiole:basal proper cell of olfactory epithelium:myoepithelial cell of lactiferous gland"
Basophil,"pneumocyte:mesodermal cell:basal cell of epithelium of lobular bronchiole:brush cell of lobular bronchiole:|||:basophil:basophil progenitor cell:Fc-epsilon RIalpha-high basophil progenitor cell:Kit-positive, integrin beta7-high basophil mast progenitor cell:|||:basophil:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:thyrotroph:gonadtroph:mast cell:mature basophil"
CD4+ T,"pneumocyte:mesodermal cell:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:|||:T-helper 17 cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:common dendritic progenitor:retinal ganglion cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:T-helper 1 cell:CD4-positive CD11b-positive dendritic cell:|||:naive thymus-derived CD4-positive, alpha-beta T cell:central memory CD4-positive, alpha-beta T cell:CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:activated CD4-positive, alpha-beta T cell, human"
CD4+ macrophage,"mesodermal cell:leukocyte:bone cell:|||:macrophage:inflammatory macrophage:alternatively activated macrophage:bone marrow cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:central nervous system macrophage:tissue-resident macrophage:elicited macrophage:thymic macrophage:|||:kidney interstitial alternatively activated macrophage:lymph node tingible body macrophage:epithelioid macrophage:splenic tingible body macrophage"
CD45,"glomerular visceral epithelial cell:extraglomerular mesangial cell:macula densa epithelial cell:glomerular cell:|||:kidney cortex tubule cell:kidney cortex collecting duct epithelial cell:kidney cortex interstitial cell:kidney medulla interstitial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:common dendritic progenitor:CD4-positive CD11b-positive dendritic cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:|||:CD4-positive, alpha-beta memory T cell, CD45RO-positive:CD8-positive, alpha-beta memory T cell, CD45RO-positive:CD4-positive, CD8-intermediate double-positive thymocyte:T-helper 1 cell"
CD45    B cell,"extraglomerular mesangial cell:kidney cortex tubule cell:kidney pelvis cell:kidney cortex vein cell:|||:B cell:Be cell:B-1 B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B-1a B cell:germinal center B cell:B cell, CD19-positive:Bm5 B cell:|||:type D enteroendocrine cell:M cell of gut:nodal myocyte:Feyrter cell"
CD45    NK cell,"extraglomerular mesangial cell:kidney cortex vein cell:kidney pelvis cell:kidney medulla cell:|||:natural killer cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B-1a B cell:CD16-positive, CD56-dim natural killer cell, human:CD4-positive, alpha-beta thymocyte:DN4 thymocyte:|||:B cell:type G enteroendocrine cell:nodal myocyte:M cell of gut"
