source,target
acinar,"pancreatic acinar cell:epithelial cell of exocrine pancreas:pancreatic centro-acinar cell:pancreatic A cell:|||:pancreatic stellate cell:neutrophil:pericyte cell:professional antigen presenting cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:acinar cell:Fraction A pre-pro B cell:spinal accessory motor neuron:Fraction B precursor B cell:|||:epithelial cell of prostatic acinus:acinar cell of salivary gland:acinar cell of sebaceous gland:mature microglial cell"
activated_stellate,"type B pancreatic cell:pancreatic D cell:pancreatic A cell:pancreatic goblet cell:|||:pancreatic stellate cell:mature astrocyte:embryonic stem cell:activated CD8-positive, alpha-beta T cell, human:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:activated CD4-positive, alpha-beta T cell, human:activated type II NK T cell:mature microglial cell:activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human:|||:type II pneumocyte:activated skeletal muscle satellite cell:type I pneumocyte:early lymphoid progenitor"
alpha,"pancreatic A cell:type B pancreatic cell:pancreatic acinar cell:pancreatic D cell:|||:epithelial cell of pancreas:pancreatic stellate cell:epithelial cell of exocrine pancreas:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage:melanophage:professional antigen presenting cell:early lymphoid progenitor:|||:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:renal alpha-intercalated cell:naive thymus-derived CD8-positive, alpha-beta T cell:CD4-positive, alpha-beta memory T cell"
beta,"type B pancreatic cell:pancreatic A cell:pancreatic D cell:pancreatic acinar cell:|||:epithelial cell of pancreas:epithelial cell of exocrine pancreas:pancreatic stellate cell:progenitor cell of endocrine pancreas:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basophil cell of pars distalis of adenohypophysis:basophil progenitor cell:early T lineage precursor:band form neutrophil:|||:effector memory CD8-positive, alpha-beta T cell:CD8-positive, CD28-negative, alpha-beta regulatory T cell:CD4-positive, alpha-beta intraepithelial T cell:CD8-positive, alpha-beta cytotoxic T cell"
delta,"type B pancreatic cell:pancreatic D cell:pancreatic A cell:pancreatic goblet cell:|||:epithelial cell of exocrine pancreas:epithelial cell of pancreas:pancreatic stellate cell:dendritic epidermal T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type D enteroendocrine cell:gonadtroph:common lymphoid progenitor:CD4-positive, alpha-beta intraepithelial T cell:|||:CD27-positive gamma-delta T cell:type D cell of stomach:type D cell of colon:gamma-delta thymocyte"
ductal,"type B pancreatic cell:pancreatic A cell:pancreatic D cell:pancreatic acinar cell:|||:pancreatic ductal cell:pancreatic goblet cell:epithelial cell of exocrine pancreas:pancreatic stellate cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:alveolar macrophage:type D enteroendocrine cell:structural cell:luteal cell:|||:luminal cell of lactiferous terminal ductal lobular unit:epithelial cell of prostatic duct:gamete:kidney cortex collecting duct epithelial cell"
endothelial,"type B pancreatic cell:pancreatic D cell:pancreatic A cell:pancreatic goblet cell:|||:epithelial cell of pancreas:endothelial cell:endothelial cell of artery:corneal endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endo-epithelial cell:gut endothelial cell:endothelial tip cell:vein endothelial cell:|||:circulating endothelial cell:endothelial cell of arteriole:endothelial cell of venule:blood vessel endothelial cell"
epsilon,"type B pancreatic cell:epithelial cell of exocrine pancreas:pancreatic acinar cell:pancreatic centro-acinar cell:|||:pancreatic epsilon cell:epithelial cell of pancreas:pancreatic stellate cell:early T lineage precursor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mammotroph:mature T cell:epithelial cell:neutrophil:|||:Fc-epsilon RIalpha-low mast cell progenitor:Fc-epsilon RIalpha-high basophil progenitor cell:professional antigen presenting cell:peptic cell"
gamma,"type B pancreatic cell:pancreatic D cell:pancreatic A cell:pancreatic PP cell:|||:pancreatic stellate cell:pericyte cell:embryonic stem cell:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gamete:granulocyte monocyte progenitor cell:mature Vgamma2-positive thymocyte:mature Vgamma2-negative thymocyte:|||:immature Vgamma2-positive fetal thymocyte:mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte:CD25-positive, CD27-positive immature gamma-delta T cell:CD27-negative gamma-delta T cell"
macrophage,pancreatic A cell:pancreatic acinar cell:pancreatic goblet cell:type B pancreatic cell:|||:macrophage:elicited macrophage:central nervous system macrophage:alternatively activated macrophage:|||:macrophage:cartwheel heterochromatin:transitional stage B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:inflammatory macrophage:tissue-resident macrophage:microglial cell:Kupffer cell
