source,target
acinar,"pancreatic stellate cell:pancreatic endocrine cell:stromal cell of pancreas:epithelial cell of pancreas:|||:pancreatic A cell:Langerhans cell:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:acinar cell:Fraction A pre-pro B cell:spinal accessory motor neuron:Fraction B precursor B cell:|||:pancreatic acinar cell:pancreatic centro-acinar cell:epithelial cell of prostatic acinus:acinar cell of salivary gland"
alpha,"pancreatic stellate cell:epithelial cell of pancreas:stromal cell of pancreas:endodermal cell:|||:pancreatic A cell:Langerhans cell:common lymphoid progenitor:early lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage:melanophage:professional antigen presenting cell:keratinocyte:|||:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:renal alpha-intercalated cell:naive thymus-derived CD8-positive, alpha-beta T cell:CD4-positive, alpha-beta memory T cell"
beta,"pancreatic stellate cell:epithelial cell of pancreas:endodermal cell:stromal cell of pancreas:|||:pancreatic A cell:Langerhans cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basophil cell of pars distalis of adenohypophysis:type B pancreatic cell:basophil progenitor cell:early T lineage precursor:|||:effector memory CD8-positive, alpha-beta T cell:CD8-positive, CD28-negative, alpha-beta regulatory T cell:CD4-positive, alpha-beta intraepithelial T cell:CD8-positive, alpha-beta cytotoxic T cell"
delta,"endodermal cell:pancreatic stellate cell:stromal cell of pancreas:epithelial cell of pancreas:|||:pancreatic A cell:Langerhans cell:dendritic epidermal T cell:mononuclear cytotrophoblast cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type D enteroendocrine cell:gonadtroph:common lymphoid progenitor:CD4-positive, alpha-beta intraepithelial T cell:|||:CD27-positive gamma-delta T cell:type D cell of stomach:type D cell of colon:gamma-delta thymocyte"
ductal,"endodermal cell:pancreatic stellate cell:epithelial cell of pancreas:stromal cell of pancreas:|||:pancreatic A cell:Langerhans cell:immature single positive thymocyte:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:alveolar macrophage:type D enteroendocrine cell:structural cell:luteal cell:|||:luminal cell of lactiferous terminal ductal lobular unit:pancreatic ductal cell:epithelial cell of prostatic duct:gamete"
mesenchymal,"endodermal cell:epithelial cell of pancreas:pancreatic stellate cell:stromal cell of pancreas:|||:endothelial cell of hepatic sinusoid:Langerhans cell:pancreatic A cell:megakaryocyte-erythroid progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell:cardiac mesenchymal cell:meso-epithelial cell:mesenchymal lymphangioblast:|||:mesenchymal stem cell of abdominal adipose:mesenchymal stem cell of Wharton's jelly:placental amniotic mesenchymal stromal cell:mesenchymal stem cell of femoral bone marrow"
unsure,"endodermal cell:pancreatic stellate cell:epithelial cell of pancreas:stromal cell of pancreas:|||:pancreatic A cell:Langerhans cell:endothelial cell of lymphatic vessel:immature single positive thymocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:fungal spore:natural T-regulatory cell:endospore:invertebrate nurse cell:|||:primary cultured cell:subcutaneous preadipocyte:neuroepidermoblast:anterior cone cell (sensu Endopterygota)"
