source,target
B_memory,"leukocyte:medullary thymic epithelial cell:pulmonary interstitial fibroblast:thymic medullary macrophage:|||:megakaryocyte-erythroid progenitor cell:naive thymus-derived CD4-positive, alpha-beta T cell:T-helper 9 cell:T follicular helper cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:memory B cell:memory T cell:double negative memory B cell:memory CCR4-positive regulatory T cell:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD4-positive, alpha-beta memory T cell, CD45RO-positive:IgG-positive double negative memory B cell:IgG-negative double negative memory B cell"
B_naive,"leukocyte:pulmonary interstitial fibroblast:medullary thymic epithelial cell:cortical thymic epithelial cell:|||:type I pneumocyte:T follicular helper cell:intraepithelial lymphocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:native cell:naive B cell:DN2 thymocyte:DN3 thymocyte:|||:inactive chief cell of parathyoid gland:B220-positive CD38-positive naive B cell:B220-low CD38-positive naive B cell:CD38-negative naive B cell"
B_plasma,"pulmonary interstitial fibroblast:thymic medullary macrophage:medullary thymic epithelial cell:thymic cortical macrophage:|||:pancreatic stellate cell:plasma cell:thymic plasmacytoid dendritic cell:T follicular helper cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmablast:plasmatocyte:blastemal cell:blastoderm cell:|||:mature CD11c-negative plasmacytoid dendritic cell:IgM plasmablast:CD11c-negative plasmacytoid dendritic cell:CD11c-low plasmacytoid dendritic cell"
B_pro/pre,"pulmonary interstitial fibroblast:leukocyte:thymic cortical macrophage:thymic medullary macrophage:|||:naive thymus-derived CD4-positive, alpha-beta T cell:basophil progenitor cell:T-helper 9 cell:eosinophil progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:iridophore:arthroconidium:blastoconidium:oospore:|||:non-pigmented ciliary epithelial cell:brown preadipocyte:basal proper cell of olfactory epithelium:erythrophore"
CD4+T,"cortical thymic epithelial cell:leukocyte:medullary thymic epithelial cell:thymic cortical macrophage:|||:epithelial cell of thymus:embryonic stem cell:T-helper 1 cell:mesenchymal stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD4-positive CD11b-positive dendritic cell:CD8-positive, alpha-beta regulatory T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:|||:effector CD4-positive, alpha-beta T cell:naive thymus-derived CD4-positive, alpha-beta T cell:activated CD4-positive, alpha-beta T cell, human:CD14-positive dermal dendritic cell"
CD4+Tmem,"cortical thymic epithelial cell:leukocyte:medullary thymic epithelial cell:thymic cortical macrophage:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:T follicular helper cell:naive thymus-derived CD4-positive, alpha-beta T cell:T-helper 9 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:T-helper 1 cell:CD14-positive dermal dendritic cell:|||:megakaryocyte-erythroid progenitor cell:conventional dendritic cell:common dendritic progenitor:CD24-negative CD38-negative IgG-negative class switched memory B cell"
CD8+T,"cortical thymic epithelial cell:leukocyte:medullary thymic epithelial cell:thymic cortical macrophage:|||:epithelial cell of thymus:embryonic stem cell:hematopoietic stem cell:T follicular helper cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8alpha-positive thymic conventional dendritic cell:CD8_alpha-positive CD11b-negative dendritic cell:|||:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:Tc1 cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:CD38-positive IgG memory B cell"
CD8+Tmem,"cortical thymic epithelial cell:leukocyte:medullary thymic epithelial cell:thymic cortical macrophage:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:naive thymus-derived CD4-positive, alpha-beta T cell:T follicular helper cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD25-positive, alpha-beta regulatory T cell:CD8-positive, CD28-negative, alpha-beta regulatory T cell:Tc1 cell:|||:conventional dendritic cell:megakaryocyte-erythroid progenitor cell:common dendritic progenitor:CD38-negative IgG-negative class switched memory B cell"
CD8αα,"medullary thymic epithelial cell:cortical thymic epithelial cell:leukocyte:thymic medullary macrophage:|||:common dendritic progenitor:embryonic stem cell:epithelial cell of thymus:naive thymus-derived CD4-positive, alpha-beta T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:CD8_alpha-positive plasmactyoid dendritic cell:CD8-positive, alpha-beta regulatory T cell:CD8_alpha-negative plasmactyoid dendritic cell:|||:CD38-positive IgG memory B cell:CD38-negative naive B cell:CD38-positive naive B cell:activated CD8-positive, alpha-beta T cell, human"
DC1,"medullary thymic epithelial cell:cortical thymic epithelial cell:leukocyte:thymic medullary macrophage:|||:conventional dendritic cell:hypothalamus cell:epithelial cell of thymus:naive thymus-derived CD4-positive, alpha-beta T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell:plasmacytoid dendritic cell:dendritic epidermal T cell:ILC1"
