source	target
Ascending vasa recta endothelium	vasa recta ascending limb cell
B cell	B cell
CD4 T cell	CD4-positive, alpha-beta T cell
CD8 T cell	CD8-positive, alpha-beta T cell
Cap mesenchyme	mesenchymal cell
Connecting tubule	kidney connecting tubule epithelial cell
Descending vasa recta endothelium	vasa recta descending limb cell
Distal renal vesicle	epithelial cell
Distinct proximal tubule 1	epithelial cell of proximal tubule
Distinct proximal tubule 2	epithelial cell of proximal tubule
Endothelium	endothelial cell
Epithelial progenitor cell	epithelial cell
Erythroid	erythrocyte
Fibroblast	fibroblast
Fibroblast 1	fibroblast
Fibroblast 2	fibroblast
Glomerular endothelium	glomerular capillary endothelial cell
Indistinct intercalated cell	renal intercalated cell
Innate like lymphocyte	innate lymphoid cell
Loop of Henle	kidney loop of Henle epithelial cell
MNP-a/classical monocyte derived	classical monocyte
MNP-b/non-classical monocyte derived	non-classical monocyte
MNP-c/dendritic cell	dendritic cell
MNP-d/Tissue macrophage	macrophage
Macrophage 1	macrophage
Macrophage 2	macrophage
Mast cell	mast cell
Mast cells	mast cell
Megakaryocyte	megakaryocyte
Monocyte	monocyte
Myofibroblast	kidney interstitial myofibroblast
Myofibroblast 1	kidney interstitial myofibroblast
Myofibroblast 2	kidney interstitial myofibroblast
NK cell	natural killer cell
NKT cell	mature NK T cell
Neuron	neuron
Neutrophil	neutrophil
Pelvic epithelium	epithelial cell
Pelvic epithelium - distal UB	epithelial cell
Peritubular capillary endothelium 1	peritubular capillary endothelial cell
Peritubular capillary endothelium 2	peritubular capillary endothelial cell
Plasmacytoid dendritic cell	plasmacytoid dendritic cell
Podocyte	glomerular visceral epithelial cell
Principal cell	kidney collecting duct principal cell
Proliferating B cell	B cell
Proliferating NK cell	natural killer cell
Proliferating Proximal Tubule	kidney proximal straight tubule epithelial cell
Proliferating cDC2	conventional dendritic cell
Proliferating cap mesenchyme	nephrogenic mesenchyme stem cell
Proliferating distal renal vesicle	kidney blood vessel cell
Proliferating fibroblast	fibroblast
Proliferating macrophage	macrophage
Proliferating monocyte	monocyte
Proliferating myofibroblast	kidney interstitial myofibroblast
Proximal renal vesicle	kidney blood vessel cell
Proximal tubule	epithelial cell of proximal tubule
Thick ascending limb of Loop of Henle	kidney loop of Henle thick ascending limb epithelial cell
Transitional urothelium	urothelial cell
Type A intercalated cell	renal intercalated cell
Type B intercalated cell	renal intercalated cell
cDC1	conventional dendritic cell
cDC2	conventional dendritic cell
pDC	plasmacytoid dendritic cell
