source,target
Ascending vasa recta endothelium,"outer medulla vasa recta ascending limb cell:inner medulla vasa recta ascending limb cell:inner medulla vasa recta descending limb cell:outer medulla vasa recta descending limb cell:|||:kidney cell:vasa recta cell:bronchioalveolar stem cell:pancreatic stellate cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:thoracic aorta endothelial cell:brain microvascular endothelial cell:basal cell of prostate epithelium:vasa recta ascending limb cell:|||:naive thymus-derived CD4-positive, alpha-beta T cell:erythrocyte:alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
B cell,extraglomerular mesangial cell:glomerular cell:interlobular vein cell:kidney pelvis cell:|||:B cell:B-2 B cell:B-1 B cell:Be cell:|||:B cell:cartwheel heterochromatin:transitional stage B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:regulatory B cell:Be1 Cell:B-1a B cell:Be2 cell
CD4 T cell,"extraglomerular mesangial cell:arcuate artery cell:kidney cortical cell:kidney pelvis cell:|||:T cell:gamma-delta T cell:Feyrter cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Tc1 cell:T-helper 1 cell:Tc2 cell:double negative thymocyte:|||:effector CD4-positive, alpha-beta T cell:naive thymus-derived CD4-positive, alpha-beta T cell:central memory CD4-positive, alpha-beta T cell:effector memory CD4-positive, alpha-beta T cell"
CD8 T cell,"extraglomerular mesangial cell:arcuate artery cell:kidney cortical cell:kidney pelvis cell:|||:T cell:gamma-delta T cell:B cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Tc2 cell:Tc1 cell:double negative thymocyte:CD8-positive, CD25-positive, alpha-beta regulatory T cell:|||:Tc17 cell:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:effector CD8-positive, alpha-beta T cell:activated CD8-positive, alpha-beta T cell, human"
CNT/PC - proximal UB,"kidney proximal straight tubule epithelial cell:kidney pelvis urothelial cell:kidney cortical cell:macula densa epithelial cell:|||:kidney cell:adult endothelial progenitor cell:plasmacytoid dendritic cell:cardioblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of proximal tubule:brush border cell of the proximal tubule:primary polar body:type A synovial cell:|||:professional antigen presenting cell:early T lineage precursor:alveolar macrophage:oncocyte"
Cap mesenchyme,"glomerular mesangial cell:macula densa epithelial cell:epithelial cell of glomerular capsule:extraglomerular mesangial cell:|||:endothelial cell of hepatic sinusoid:kidney cell:professional antigen presenting cell:basophil progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardiac mesenchymal cell:mesenchymal stem cell:meso-epithelial cell:metanephric mesenchyme stem cell:|||:nephrogenic mesenchyme stem cell:chorionic membrane mesenchymal stem cell:hepatic mesenchymal stem cell:vertebral mesenchymal stem cell"
Connecting tubule,"kidney cortex tubule cell:kidney cortex vein cell:kidney interstitial cell:kidney cortex peritubular capillary cell:|||:kidney connecting tubule epithelial cell:kidney collecting duct epithelial cell:kidney cell:kidney collecting duct intercalated cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:connective tissue cell:calcitonin secreting cell:glucagon secreting cell:collagen secreting cell:|||:fibroblast of connective tissue of glandular part of prostate:fibroblast of connective tissue of nonglandular part of prostate:fibroblast of areolar connective tissue:fibroblast of subepithelial connective tissue of prostatic gland"
Descending vasa recta endothelium,"outer medulla vasa recta ascending limb cell:inner medulla vasa recta ascending limb cell:inner medulla vasa recta descending limb cell:outer medulla vasa recta descending limb cell:|||:embryonic stem cell:vasa recta cell:kidney cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:vasa recta ascending limb cell:adipose microvascular endothelial cell:endometrial microvascular endothelial cells:vasa recta descending limb cell:|||:dendritic epidermal T cell:intraepithelial lymphocyte:T follicular helper cell:naive thymus-derived CD4-positive, alpha-beta T cell"
Distal S shaped body,"epithelial cell of glomerular capsule:parietal epithelial cell:kidney interstitial cell:kidney pelvis smooth muscle cell:|||:pigmented ciliary epithelial cell:oligodendrocyte:professional antigen presenting cell:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:primary polar body:type-7 epithelial cell of thymus:type II cell of carotid body:distal tip cell (sensu Nematoda):|||:basophil progenitor cell:non-pigmented ciliary epithelial cell:immature single positive thymocyte:acidophil cell of pars distalis of adenohypophysis"
Distal renal vesicle,"inner renal cortex cell:parietal epithelial cell:glomerular mesangial cell:interlobular vein cell:|||:epithelial cell of distal tubule:embryonic stem cell:interstitial cell of Cajal:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:strial marginal cell:interdental cell of cochlea:urothelial cell of trigone of urinary bladder:small luteal cell:|||:immature single positive thymocyte:hematopoietic stem cell:enterochromaffin-like cell:mesenchymal stem cell"
