source	target
Muller cell	Mueller cell
amacrine cell	amacrine cell
microglial cell	microglial cell
retinal bipolar neuron type A	"gastrula cell:|||:neuron:bipolar neuron:Kolmer-Agduhr neuron:Rohon-Beard neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:unipolar neuron:cone retinal bipolar cell:multipolar neuron:retinal melanocyte:|||:motor neuron:cerebellar Golgi cell:mature neutrophil:neutrophil"
retinal bipolar neuron type B	"gastrula cell:|||:neuron:bipolar neuron:Kolmer-Agduhr neuron:Rohon-Beard neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:unipolar neuron:cone retinal bipolar cell:multipolar neuron:pseudounipolar neuron:|||:cerebellar Golgi cell:motor neuron:mature neutrophil:neutrophil"
retinal bipolar neuron type C	"gastrula cell:|||:neuron:bipolar neuron:Kolmer-Agduhr neuron:Rohon-Beard neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:unipolar neuron:cone retinal bipolar cell:multipolar neuron:retinal melanocyte:|||:motor neuron:cerebellar Golgi cell:mature neutrophil:neutrophil"
retinal bipolar neuron type D	"gastrula cell:|||:neuron:bipolar neuron:Rohon-Beard neuron:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:unipolar neuron:cone retinal bipolar cell:multipolar neuron:retinal melanocyte:|||:mature neutrophil:cerebellar Golgi cell:neutrophil:motor neuron"
retinal cone cell	retinal cone cell
retinal ganglion cell	retinal ganglion cell
retinal rod cell type A	retinal rod cell
retinal rod cell type B	retinal rod cell
retinal rod cell type C	retinal rod cell
