source,target
AT1,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:type I pneumocyte:endothelial cell of lymphatic vessel:embryonic stem cell:adult endothelial progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:induced T-regulatory cell:gamete:ooblast"
AT2,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:type II pneumocyte:endothelial cell of lymphatic vessel:embryonic stem cell:adult endothelial progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:induced T-regulatory cell:gamete:ooblast"
B Cells,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:B cell:marginal zone B cell:Be cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B-2 B cell:Be1 Cell:Be2 cell:regulatory B cell"
Basal,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:bronchioalveolar stem cell:embryonic stem cell:endothelial cell of lymphatic vessel:pericyte cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell:basophil:blastemal cell:non-terminally differentiated cell:|||:myoepithelial cell of acinus of lactiferous gland:basal cell of epithelium of terminal bronchiole:basal cell of epithelium of bronchus:basal cell of epithelium of trachea"
Ciliated,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:granulocyte monocyte progenitor cell:pericyte cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:ciliated cell:multi-ciliated epithelial cell:cardioblast:ciliated olfactory receptor neuron:|||:club cell:single ciliated epithelial cell:ciliated columnar cell of tracheobronchial tree:ciliated cell of the bronchus"
Differentiating Ciliated,"mesodermal cell:epithelial cell of lower respiratory tract:fibroblast of lung:|||:type II pneumocyte:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:alpha-beta intraepithelial T cell:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type-5 epithelial cell of thymus:conventional dendritic cell:myeloid dendritic cell:dendritic cell:|||:non-terminally differentiated cell:enterochromaffin-like cell:retinal ganglion cell:CD4-positive, alpha-beta intraepithelial T cell"
Endothelial Cells,"mesodermal cell:epithelial cell of lower respiratory tract:fibroblast of lung:|||:endothelial cell:glial cell:mesothelial cell:urothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endo-epithelial cell:endothelial tip cell:gut endothelial cell:vein endothelial cell"
Fibroblasts,"fibroblast of lung:mesodermal cell:epithelial cell of lower respiratory tract:|||:fibroblast:ooblast:iridoblast:splenic fibroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:skin fibroblast:marrow fibroblast:fibroblast of dermis:fibroblast of arm"
HAS1 High Fibroblasts,"fibroblast of lung:mesodermal cell:epithelial cell of lower respiratory tract:|||:fibroblast:ooblast:iridoblast:skin fibroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:ovarian fibroblast:splenic fibroblast:fibroblast of cardiac tissue:marrow fibroblast:|||:glioblast:myoblast:fibroblast of arm:fibroblast of dermis"
KRT5-/KRT17+,"epithelial cell of lower respiratory tract:fibroblast of lung:mesodermal cell:|||:embryonic stem cell:adult endothelial progenitor cell:pericyte cell:granulocyte monocyte progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:keratocyte:T-helper 17 cell:immature NK T cell stage II:erythrocyte:|||:type I pneumocyte:CD56-positive, CD161-positive immature natural killer cell, human:immature natural killer cell:CD56-negative, CD161-positive immature natural killer cell, human"
