source,target
MHC class II cell,"epithelial cell of exocrine pancreas:pancreatic A cell:pancreatic D cell:type B pancreatic cell:|||:type G enteroendocrine cell:M cell of gut:T cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macular hair cell:auditory hair cell:sensory hair cell:IgM plasma cell:|||:type D enteroendocrine cell:B cell:parafollicular cell:nodal myocyte"
PSC cell,"type B pancreatic cell:pancreatic D cell:pancreatic A cell:pancreatic PP cell:|||:parafollicular cell:type N enteroendocrine cell:T cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:nodal myocyte:Feyrter cell:double-positive, alpha-beta thymocyte:PP cell:|||:imaginal disc cell:gonadtroph:somatotroph:mammotroph"
acinar cell,"pancreatic acinar cell:pancreatic A cell:epithelial cell of exocrine pancreas:type B pancreatic cell:|||:acinar cell:R7 photoreceptor cell:R4 photoreceptor cell:R3 photoreceptor cell:|||:acinar cell:cartwheel heterochromatin:precursor B cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:trichogen cell:sensory hair cell:club cell:extraglomerular mesangial cell"
alpha cell,"pancreatic A cell:type B pancreatic cell:pancreatic D cell:pancreatic PP cell:|||:H minus:Kolmer-Agduhr neuron:M cell of gut:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:keratinocyte:mature natural killer cell:cap cell:hyphal cell:|||:acidophil cell of pars distalis of adenohypophysis:B cell:T cell:type G enteroendocrine cell"
beta cell,"type B pancreatic cell:pancreatic A cell:pancreatic D cell:pancreatic PP cell:|||:basophil cell of pars distalis of adenohypophysis:Kolmer-Agduhr neuron:nodal myocyte:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be cell:Be2 cell:B-1a B cell:Be1 Cell"
co-expression cell,"epithelial cell of exocrine pancreas:type B pancreatic cell:pancreatic D cell:pancreatic A cell:|||:type N enteroendocrine cell:hepatic stellate cell:natural killer cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mature T cell:exocrine cell:pro-NK cell:preosteoblast:|||:Feyrter cell:M cell of gut:type G enteroendocrine cell:T cell"
delta cell,"type B pancreatic cell:pancreatic D cell:pancreatic A cell:pancreatic goblet cell:|||:basophil cell of pars distalis of adenohypophysis:mature natural killer cell:Kolmer-Agduhr neuron:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Bm3-delta B cell:luteal cell:T cell:type D enteroendocrine cell:|||:gonadtroph:type D cell of small intestine:type D cell of stomach:type D cell of colon"
ductal cell,"type B pancreatic cell:pancreatic A cell:pancreatic D cell:pancreatic acinar cell:|||:Kolmer-Agduhr neuron:pancreatic ductal cell:Feyrter cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:luteal cell:alveolar macrophage:crystal cell:structural cell:|||:type D enteroendocrine cell:nodal myocyte:parafollicular cell:type G enteroendocrine cell"
endothelial cell,"type B pancreatic cell:pancreatic A cell:pancreatic D cell:epithelial cell of exocrine pancreas:|||:endothelial cell:glial cell:endothelial tip cell:corneal endothelial cell:|||:endothelial cell:cartwheel heterochromatin:mature gamma-delta T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gut endothelial cell:endo-epithelial cell:mesothelial cell:endosteal cell"
epsilon cell,"type B pancreatic cell:pancreatic A cell:pancreatic D cell:pancreatic acinar cell:|||:type N enteroendocrine cell:natural killer cell:pancreatic epsilon cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mature T cell:epiblast cell:epithelioid macrophage:pro-NK cell:|||:Feyrter cell:B cell:type G enteroendocrine cell:T cell"
gamma cell,"type B pancreatic cell:pancreatic D cell:pancreatic A cell:pancreatic PP cell:|||:Kolmer-Agduhr neuron:parafollicular cell:M cell of gut:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:animal cell:plasma cell:type G enteroendocrine cell:gamma-delta T cell:|||:Feyrter cell:type D enteroendocrine cell:type N enteroendocrine cell:B cell"
mast cell,"type B pancreatic cell:pancreatic A cell:pancreatic D cell:pancreatic PP cell:|||:mast cell:T cell:fat cell:mucosal type mast cell:|||:mast cell:cartwheel heterochromatin:eosinophilic promyelocyte:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:non-terminally differentiated cell:connective tissue type mast cell:M cell of gut:basket cell"
unclassified cell,"pancreatic D cell:type B pancreatic cell:pancreatic A cell:pancreatic acinar cell:|||:type D enteroendocrine cell:double-positive, alpha-beta thymocyte:Be cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:nucleate cell:ciliated cell:neuron associated cell:renal intercalated cell:|||:Feyrter cell:M cell of gut:nodal myocyte:T cell"
unclassified endocrine cell,"type B pancreatic cell:pancreatic centro-acinar cell:epithelial cell of exocrine pancreas:pancreatic acinar cell:|||:endocrine cell:Be cell:natural killer cell:exocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pancreatic endocrine cell:neuroendocrine cell:myocardial endocrine cell:enteroendocrine cell:|||:apocrine cell:parafollicular cell:type N enteroendocrine cell:Feyrter cell"
