source,target
ACKR1+ endothelium,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:endothelial cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:common lymphoid progenitor:gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of vascular tree:aortic endothelial cell:corneal endothelial cell:endothelial cell of artery:|||:microvascular endothelial cell:lung microvascular endothelial cell:globose cell of olfactory epithelium:thoracic aorta endothelial cell"
B cells,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:B cell:marginal zone B cell:B-2 B cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be cell:Be1 Cell:Be2 cell:regulatory B cell"
CD36+ endothelium,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:endothelial cell:myeloid dendritic cell:mast cell progenitor:intraepithelial lymphocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD14-positive, CD16-positive monocyte:aortic endothelial cell:splenic endothelial cell:gut endothelial cell:|||:endocardial cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:alpha-beta intraepithelial T cell:conventional dendritic cell"
Cycling,"smooth muscle cell of small intestine:epithelial cell of small intestine:enteric smooth muscle cell:|||:interstitial cell of Cajal:CD4-positive, alpha-beta intraepithelial T cell:enterochromaffin-like cell:cardioblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:circulating cell:crypt olfactory receptor neuron:parafollicular cell:astrocyte:|||:conventional dendritic cell:common lymphoid progenitor:kidney medulla collecting duct epithelial cell:kidney inner medulla collecting duct epithelial cell"
Enterocytes,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:enterocyte:Bm4 B cell:tendon cell:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:heterocyst:neutrophil:nephrocyte:oenocyte"
Enteroendocrines,"enteric smooth muscle cell:smooth muscle cell of small intestine:epithelial cell of small intestine:|||:enteroendocrine cell:type M enteroendocrine cell:type TG enteroendocrine cell:type X enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:P enteroendocrine cell:type EC2 enteroendocrine cell:neuroendocrine cell:P/D1 enteroendocrine cell:|||:type G enteroendocrine cell:type ECL enteroendocrine cell:type I enteroendocrine cell:GIP cell"
Fibs,"smooth muscle cell of small intestine:epithelial cell of small intestine:enteric smooth muscle cell:|||:cardiac ventricle fibroblast:cardiac atrium fibroblast:pericardium fibroblast:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:fibroblast:myofibroblast cell:immature single positive thymocyte:basophil progenitor cell:|||:fibroblast of the aortic adventitia:cardiac muscle cell:mesenchymal stem cell:fibrocyte"
Glial cells,"epithelial cell of small intestine:enteric smooth muscle cell:smooth muscle cell of small intestine:|||:glial cell:Kolmer-Agduhr neuron:B cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macroglial cell:microglial cell:cerebellar Golgi cell:oogonial cell"
Goblets,"smooth muscle cell of small intestine:epithelial cell of small intestine:enteric smooth muscle cell:|||:intestinal villus goblet cell:ileal goblet cell:small intestine goblet cell:bronchial goblet cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:goblet cell:glioblast:oligodendrocyte:angioblastic mesenchymal cell:|||:appendix goblet cell:pyloric gastric gland goblet cell:nasal mucosa goblet cell:conjunctiva goblet cell"
ILC,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:Langerhans cell:ILC1:group 2 innate lymphoid cell:group 3 innate lymphoid cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:interstitial cell of Cajal:CD4-positive, alpha-beta intraepithelial T cell:|||:band form neutrophil:oncocyte:band form basophil:neutrophil"
Lymphatics,"epithelial cell of small intestine:enteric smooth muscle cell:smooth muscle cell of small intestine:|||:type I pneumocyte:dermis lymphatic vessel endothelial cell:type II pneumocyte:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:lymphangioblast:lymphocyte:common lymphoid progenitor:T cell:|||:dermis microvascular lymphatic vessel endothelial cell:fibroblast of lymphatic vessel:early lymphoid progenitor:vascular lymphangioblast"
MNP,"epithelial cell of small intestine:smooth muscle cell of small intestine:enteric smooth muscle cell:|||:neutrophil:granulocyte monocyte progenitor cell:mature neutrophil:common myeloid progenitor, CD34-positive:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:megakaryocyte-erythroid progenitor cell:macrophage dendritic cell progenitor:pro-NK cell:mast cell progenitor:|||:spinal accessory motor neuron:primary cultured cell:eosinophil:lymph gland plasmatocyte"
Mast cells,"enteric smooth muscle cell:smooth muscle cell of small intestine:epithelial cell of small intestine:|||:mast cell:T cell:mucosal type mast cell:fat cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:connective tissue type mast cell:non-terminally differentiated cell:basket cell:M cell of gut"
Paneth cells,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:paneth cell:T-helper 1 cell:T-helper 2 cell:H minus:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:parietal cell:sheath cell:basket cell:malignant cell"
Pericytes,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:pigmented ciliary epithelial cell:pericyte cell:renal interstitial pericyte:central nervous system pericyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:brain pericyte:pituicyte:spermatocyte:preadipocyte"
Plasma cells,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:plasma cell:IgE plasma cell:IgM plasma cell:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:IgA plasma cell:IgG plasma cell:blastemal cell:basal cell"
Progenitors,"enteric smooth muscle cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:progenitor cell of endocrine pancreas:myeloid lineage restricted progenitor cell:Kit-low, CD34-positive eosinophil progenitor cell:hematopoietic lineage restricted progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:megakaryocyte-erythroid progenitor cell:pro-T cell:pro-B cell:preosteoblast:|||:Kit-positive, CD34-positive common myeloid progenitor:common myeloid progenitor:mast cell progenitor:common lymphoid progenitor"
