"name","id"
'B cell', "nan"
'B cell (Plasmocyte)', "nan"
'Dendritic cell', "nan"
'Endothelial cell (APC)', "nan"
'Enterocyte', "nan"
'Enterocyte progenitor', "nan"
'Enteroendocrine', "nan"
'Erythroid cell', "nan"
'Fetal stromal cell', "nan"
'Goblet', "nan"
'Macrophage', "nan"
'Mast cell', "nan"
'Monocyte', "nan"
'Paneth-like', "nan"
'Smooth muscle cell', "nan"
'Stem Cell', "nan"
'Stromal cell', "nan"
'T cell', "nan"
'TA', "nan"
