source,target
19,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:T-helper 9 cell:conventional dendritic cell:ILC1:|||:lymphocyte of B lineage, CD19-positive:B cell, CD19-positive:mature CD11c-negative plasmacytoid dendritic cell:immature CD8_alpha-positive CD11b-negative dendritic cell"
2,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:type II pneumocyte:group 2 innate lymphoid cell:B-2 B cell:|||:type 2 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth:B220-positive CD38-positive IgG-negative class switched memory B cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:Tc2 cell"
20,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:naive thymus-derived CD4-positive, alpha-beta T cell:type II pneumocyte:group 2 innate lymphoid cell:|||:B220-positive CD38-negative unswitched memory B cell:B220-low CD38-positive IgG-negative class switched memory B cell:B220-low CD38-positive naive B cell:B220-low CD38-negative unswitched memory B cell"
21,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:plasmacytoid dendritic cell:conventional dendritic cell:type II pneumocyte:|||:Kit-positive, Sca1-positive common lymphoid progenitor:CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor:Gr1-high myeloid suppressor cell:type 1 otic fibrocyte"
22,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-negative dendritic cell:T-helper 22 cell:liver dendritic cell:fetal liver hematopoietic progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:type II pneumocyte:group 2 innate lymphoid cell:R2 photoreceptor cell:|||:B220-positive CD38-negative unswitched memory B cell:B220-low CD38-positive IgG-negative class switched memory B cell:B220-low CD38-positive naive B cell:B220-low CD38-negative unswitched memory B cell"
23,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-positive dendritic cell:Kupffer cell:liver CD103-negative dendritic cell:fetal liver hematopoietic progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:plasmacytoid dendritic cell:group 2 innate lymphoid cell:group 3 innate lymphoid cell:|||:myeloid dendritic cell:CD34-positive, CD38-negative multipotent progenitor cell:Bm3 B cell:T-helper 2 cell"
24,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:type II pneumocyte:group 2 innate lymphoid cell:mature CD4 single-positive thymocyte:|||:mature CD8 single-positive thymocyte:CD24-positive, CD8 single-positive thymocyte:CD24-positive CD38-negative IgG-negative class switched memory B cell:CD24-negative CD38-negative IgG-negative class switched memory B cell"
25,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:type II pneumocyte:group 2 innate lymphoid cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:|||:activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human:CD25-positive, CD27-positive immature gamma-delta T cell:CD4-positive, CD25-positive, alpha-beta regulatory T cell:CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell"
26,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:plasmacytoid dendritic cell:group 2 innate lymphoid cell:R6 photoreceptor cell:|||:CD27-high, CD11b-low natural killer cell, mouse:CD14-positive, CD16-positive monocyte:mature Vgamma2-positive fetal thymocyte:DN2 thymocyte"
27,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:plasmacytoid dendritic cell:group 2 innate lymphoid cell:CD27-positive gamma-delta T cell:|||:CD25-positive, CD27-positive immature gamma-delta T cell:CD27-low, CD11b-low immature natural killer cell, mouse:CD27-high, CD11b-low natural killer cell, mouse:CD27-low, CD11b-high natural killer cell, mouse"
28,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:type II pneumocyte:group 2 innate lymphoid cell:CD8_alpha-positive CD11b-negative dendritic cell:|||:CD8-positive, CD28-negative, alpha-beta regulatory T cell:R8 photoreceptor cell:Vgamma5-positive CD8alpha alpha positive gamma-delta intraepithelial T cell:CD34-positive, CD38-positive common myeloid progenitor"
