source,target
Activated CD4 T,"smooth muscle cell of cecum:smooth muscle cell of large intestine:enteric smooth muscle cell:epithelial cell of large intestine:|||:activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human:type II pneumocyte:mature astrocyte:activated CD4-positive, alpha-beta T cell, human:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:activated CD8-positive, alpha-beta T cell, human:mature microglial cell:naive thymus-derived CD4-positive, alpha-beta T cell:activated type II NK T cell:|||:activated CD4-positive, alpha-beta T cell:activated CD4-negative, CD8-negative type I NK T cell:activated CD4-positive type I NK T cell:activated CD8-positive, alpha-beta T cell"
B cell IgA Plasma,"epithelial cell of large intestine:smooth muscle cell of large intestine:epithelial cell of appendix:smooth muscle cell of cecum:|||:B cell:follicular B cell:B-1 B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:IgA plasma cell:IgA plasmablast:IgG plasmablast:IgM plasmablast:|||:Be cell:type N enteroendocrine cell:nodal myocyte:type G enteroendocrine cell"
B cell IgG Plasma,"epithelial cell of large intestine:smooth muscle cell of large intestine:epithelial cell of appendix:smooth muscle cell of cecum:|||:B cell:follicular B cell:Be cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:IgG plasmablast:IgG plasma cell:IgM plasmablast:IgA plasmablast:|||:B-2 B cell:M cell of gut:type N enteroendocrine cell:parafollicular cell"
B cell cycling,"epithelial cell of large intestine:smooth muscle cell of cecum:smooth muscle cell of large intestine:epithelial cell of appendix:|||:B cell:follicular B cell:B-1 B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be cell:border cell of cochlea:Be1 Cell:Be2 cell:|||:nodal myocyte:M cell of gut:parafollicular cell:Feyrter cell"
B cell memory,"smooth muscle cell of cecum:epithelial cell of appendix:epithelial cell of large intestine:smooth muscle cell of large intestine:|||:B cell:follicular B cell:B-2 B cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be cell:regulatory B cell:type B pancreatic cell:Be1 Cell:|||:parafollicular cell:type D enteroendocrine cell:M cell of gut:T cell"
CD8 T,"enteric smooth muscle cell:epithelial cell of large intestine:epithelial cell of appendix:smooth muscle cell of large intestine:|||:effector CD8-positive, alpha-beta T cell:oligodendrocyte:conventional dendritic cell:common dendritic progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD25-positive, alpha-beta regulatory T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:|||:central memory CD8-positive, alpha-beta T cell:induced T-regulatory cell:double negative thymocyte:effector memory CD8-positive, alpha-beta T cell"
Follicular B cell,enteric smooth muscle cell:epithelial cell of large intestine:epithelial cell of appendix:smooth muscle cell of cecum:|||:B cell:follicular B cell:T follicular helper cell:Be cell:|||:follicular B cell:cartwheel heterochromatin:immature B cell:gamma-delta intraepithelial T cell:|||:parafollicular cell:ovarian follicle cell:follicular dendritic cell:thyroid follicular cell
ILC,"epithelial cell of large intestine:enteric smooth muscle cell:epithelial cell of appendix:smooth muscle cell of cecum:|||:Langerhans cell:group 2 innate lymphoid cell:group 3 innate lymphoid cell:ILC1:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:interstitial cell of Cajal:CD4-positive, alpha-beta intraepithelial T cell:|||:band form neutrophil:oncocyte:band form basophil:neutrophil"
LYVE1 Macrophage,"epithelial cell of appendix:smooth muscle cell of large intestine:enteric smooth muscle cell:epithelial cell of large intestine:|||:macrophage:inflammatory macrophage:Kupffer cell:alternatively activated macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:alveolar macrophage:elicited macrophage:pleural macrophage:lymph node macrophage:|||:thymic medullary macrophage:choroid-plexus macrophage:common myeloid progenitor:splenic macrophage"
Lymphoid DC,"epithelial cell of appendix:epithelial cell of large intestine:smooth muscle cell of cecum:enteric smooth muscle cell:|||:common lymphoid progenitor:CD34-positive, CD38-positive common lymphoid progenitor:secondary lymphoid organ macrophage:CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:lymphocyte:innate lymphoid cell:plasmacytoid dendritic cell:polyploid cell:|||:group 2 innate lymphoid cell:group 2 innate lymphoid cell, mouse:group 1 innate lymphoid cell:group 3 innate lymphoid cell"
Macrophage,epithelial cell of appendix:epithelial cell of large intestine:smooth muscle cell of large intestine:smooth muscle cell of cecum:|||:macrophage:central nervous system macrophage:inflammatory macrophage:alternatively activated macrophage:|||:macrophage:cartwheel heterochromatin:transitional stage B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:elicited macrophage:tissue-resident macrophage:microglial cell:Kupffer cell
Mast,"smooth muscle cell of large intestine:enteric smooth muscle cell:epithelial cell of appendix:epithelial cell of large intestine:|||:Fc-epsilon RIalpha-low mast cell progenitor:Kit-positive, integrin beta7-high basophil mast progenitor cell:basophil mast progenitor cell:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mast cell progenitor:myoblast:monoblast:mesodermal cell:|||:anterior lateral line neuromast hair cell:mucosal type mast cell:mast cell:neuromast hair cell"
Monocyte,"epithelial cell of appendix:smooth muscle cell of cecum:enteric smooth muscle cell:smooth muscle cell of large intestine:|||:monocyte:CD14-positive monocyte:primordial germ cell:oncocyte:|||:monocyte:cartwheel heterochromatin:precursor B cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:ionocyte:oenocyte:oocyte:promonocyte"
NK,"epithelial cell of large intestine:epithelial cell of appendix:enteric smooth muscle cell:smooth muscle cell of cecum:|||:mast cell progenitor:erythroid progenitor cell:common myeloid progenitor, CD34-positive:erythroid progenitor cell, mammalian:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pro-NK cell:immature natural killer cell:CD56-positive, CD161-positive immature natural killer cell, human:CD56-negative, CD161-positive immature natural killer cell, human:|||:Ly49D-positive natural killer cell, mouse:CD4-positive type I NK T cell secreting interleukin-4:CD94-negative, Ly49CI-negative natural killer cell, mouse:CD94-positive natural killer cell, mouse"
Tcm,"enteric smooth muscle cell:smooth muscle cell of cecum:epithelial cell of appendix:epithelial cell of large intestine:|||:type D cell of colon:monoblast:eosinophil progenitor cell:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor:common myeloid progenitor, CD34-positive:connective tissue type mast cell:cortical thymic epithelial cell:|||:dendritic epidermal T cell:cardiac pacemaker cell of sinoatrial node:visual pigment cell (sensu Vertebrata):multi-potent skeletal muscle stem cell"
Tfh,"epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of cecum:epithelial cell of appendix:|||:T follicular helper cell:eosinophil progenitor cell:erythroid progenitor cell, mammalian:common myeloid progenitor, CD34-positive:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:naive thymus-derived CD4-positive, alpha-beta T cell:T-helper 9 cell:short term hematopoietic stem cell:long term hematopoietic stem cell"
Th1,"epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of cecum:epithelial cell of appendix:|||:common myeloid progenitor, CD34-positive:erythroid progenitor cell:common lymphoid progenitor:megakaryocyte-erythroid progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:naive thymus-derived CD4-positive, alpha-beta T cell:T-helper 9 cell:T follicular helper cell:type I pneumocyte:|||:Tc17 cell:T-helper 17 cell:CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:T-helper 1 cell"
Th17,"epithelial cell of large intestine:enteric smooth muscle cell:epithelial cell of appendix:smooth muscle cell of cecum:|||:naive thymus-derived CD4-positive, alpha-beta T cell:oligodendrocyte:T-helper 9 cell:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:T-helper 17 cell:T follicular helper cell:type I pneumocyte:T-helper 1 cell:|||:CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:Tc17 cell:Tc1 cell:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell"
Treg,"enteric smooth muscle cell:smooth muscle cell of cecum:smooth muscle cell of large intestine:epithelial cell of large intestine:|||:CD4-positive, CD25-positive, alpha-beta regulatory T cell:regulatory T cell:induced T-regulatory cell:natural T-regulatory cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:regulatory B cell:CD8-positive, alpha-beta regulatory T cell:CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell:retinal ganglion cell"
cDC1,"epithelial cell of large intestine:epithelial cell of appendix:smooth muscle cell of cecum:enteric smooth muscle cell:|||:conventional dendritic cell:type D cell of colon:plasmacytoid dendritic cell:myeloid dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common dendritic progenitor:multi-ciliated epithelial cell:interstitial cell of Cajal:cardioblast:|||:immature CD16-positive myeloid dendritic cell:CD11c-low plasmacytoid dendritic cell:CD1c-positive myeloid dendritic cell:mature CD8_alpha-negative CD11b-negative dendritic cell"
cDC2,"epithelial cell of large intestine:epithelial cell of appendix:enteric smooth muscle cell:smooth muscle cell of cecum:|||:conventional dendritic cell:plasmacytoid dendritic cell:type D cell of colon:interstitial cell of Cajal:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multi-ciliated epithelial cell:cardioblast:common dendritic progenitor:myeloid dendritic cell:|||:CD27-low, CD11b-low immature natural killer cell, mouse:CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell:activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human:CD27-negative gamma-delta T cell"
cycling DCs,"enteric smooth muscle cell:smooth muscle cell of cecum:smooth muscle cell of large intestine:epithelial cell of large intestine:|||:enterochromaffin-like cell:myeloid dendritic cell:neuronal stem cell:oligodendrocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:circulating cell:lining cell:type D cell of colon:eccrine cell:|||:conventional dendritic cell:plasmacytoid dendritic cell:common lymphoid progenitor:cardioblast"
cycling gd T,"smooth muscle cell of large intestine:smooth muscle cell of cecum:epithelial cell of large intestine:epithelial cell of appendix:|||:oligodendrocyte:interstitial cell of Cajal:neuronal stem cell:type D cell of colon:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:hatching gland cell:circulating cell:cell in vitro:leading edge cell:|||:enterochromaffin-like cell:T-helper 17 cell:conventional dendritic cell:cardioblast"
gd T,"epithelial cell of large intestine:smooth muscle cell of large intestine:enteric smooth muscle cell:smooth muscle cell of cecum:|||:type D cell of colon:oligodendrocyte:enterochromaffin-like cell:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gamma-delta T cell:gamma-delta thymocyte:dendritic epidermal T cell:CD8-positive, alpha-beta regulatory T cell:|||:primary cultured cell:plasmacytoid dendritic cell:type-5 epithelial cell of thymus:type-7 epithelial cell of thymus"
pDC,"epithelial cell of large intestine:epithelial cell of appendix:smooth muscle cell of cecum:smooth muscle cell of large intestine:|||:plasmacytoid dendritic cell:type D cell of colon:conventional dendritic cell:adult endothelial progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardioblast:professional antigen presenting cell:myeloid dendritic cell:common dendritic progenitor"
