source	target	target_id
Adrenal gland	adrenal gland	UBERON:0002369
Liver	liver	UBERON:0002107
Lung	lung	UBERON:0002048
Omentum	omentum	UBERON:0003688
Peritoneum	peritoneum	UBERON:0002358
