source,target
Bcells,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:R8 photoreceptor cell:R7 photoreceptor cell:R6 photoreceptor cell:R5 photoreceptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B cell:B-2 B cell:Be cell:B-1 B cell:|||:CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma:Bm5 B cell:IgA memory B cell:class switched memory B cell"
Cholangiocytes,"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:mesodermal cell:epithelial cell of alimentary canal:|||:cholangiocyte:amniocyte:oocyte:retinal ganglion cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:chondrocyte:phagocyte:pigment cell:melanocyte"
Endothelia,"endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:hindlimb stylopod vein endothelial cell:bladder microvascular endothelial cell:adipose microvascular endothelial cell:mammary microvascular endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell:endo-epithelial cell:endothelial tip cell:gut endothelial cell:|||:squamous endothelial cell:ovarian microvascular endothelial cell:kidney capillary endothelial cell:endothelial stalk cell"
Hepatocytes,"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:mesodermal cell:epithelial cell of alimentary canal:|||:hepatocyte:oocyte:keratocyte:mast cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:keratinocyte:astrocyte:hyalocyte:plasmatocyte"
ILCs,"endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:Langerhans cell:ILC1:group 3 innate lymphoid cell:group 2 innate lymphoid cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD4-positive, alpha-beta intraepithelial T cell:interstitial cell of Cajal:endothelial cell of lymphatic vessel:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:neutrophilic metamyelocyte:basophil progenitor cell:Kupffer cell:mesenchymal stem cell of umbilical cord"
MPs,"mesodermal cell:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:Kupffer cell:fetal liver hematopoietic progenitor cell:langerin-positive lymph node dendritic cell:ciliary muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell:hematopoietic multipotent progenitor cell:macrophage dendritic cell progenitor:common myeloid progenitor, CD34-positive:|||:granulocyte monocyte progenitor cell:common myeloid progenitor:CD14-low, CD16-positive monocyte:Vgamma1.1-positive, Vdelta6.3-positive thymocyte"
Mast cells,"mesodermal cell:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:T cell:mast cell:mucosal type mast cell:fat cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:connective tissue type mast cell:non-terminally differentiated cell:basket cell:M cell of gut"
Mesenchyme,"mesodermal cell:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:meso-epithelial cell:nephrogenic mesenchyme stem cell:metanephric mesenchyme stem cell:angioblastic mesenchymal cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell:splenocyte:melanocyte:eosinophil:|||:fibroblast of villous mesenchyme:mesenchyme condensation cell:mesenchymal stem cell of Wharton's jelly:amnion mesenchymal stem cell"
Mesothelia,"mesodermal cell:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:mesothelial cell of pleura:mesothelial cell of peritoneum:periperhal blood mesothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:meso-epithelial cell:endothelial cell:meningothelial cell:myoepithelial cell:|||:mesothelial cell of anterior chamber of eye:mesothelial cell of dura mater:mesothelial cell of parietal peritoneum:mesothelial cell of parietal pleura"
Plasma Bcells,"mesodermal cell:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:plasma cell:IgA short lived plasma cell:long lived plasma cell:IgG short lived plasma cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:IgM plasma cell:IgE plasma cell:IgG plasma cell:IgA plasma cell"
